SENSE daad 13 24-04-2019 07:44:46.035 T: 30.0767993927002 [C]; A:[44, -50, 240]; H: 67.46343994140625
SENSE daac 18 24-04-2019 07:44:47.888 T: 30.26399993896484 [C]; A:[-36, 56, 194]; H: 70.02691650390625
SENSE daad 14 24-04-2019 07:44:46.467 T: 30.0767993927002 [C]; A:[44, -50, 240]; H: 67.46343994140625
SENSE daaa 19 24-04-2019 07:44:48.228 T: 29.88959884643554 [C]; A:[-18, -62, 216]; H: 70.54571533203125
SENSE daac 19 24-04-2019 07:44:48.318 T: 30.26399993896484 [C]; A:[-36, 58, 202]; H: 70.02691650390625
SENSE daaa 20 24-04-2019 07:44:48.585 T: 29.88959884643554 [C]; A:[-16, -60, 218]; H: 70.54571533203125
SENSE daac 20 24-04-2019 07:44:48.699 T: 30.26399993896484 [C]; A:[-34, 50, 192]; H: 70.02691650390625
SENSE daaa 21 24-04-2019 07:44:48.943 T: 29.88959884643554 [C]; A:[-16, -62, 218]; H: 70.54571533203125
SENSE daad 15 24-04-2019 07:44:46.908 T: 30.0767993927002 [C]; A:[42, -52, 242]; H: 67.46343994140625
SENSE daab 16 24-04-2019 07:44:47.290 T: 29.7023983001709 [C]; A:[80, 4, 218]; H: 70.0498046875
SENSE daac 21 24-04-2019 07:44:49.129 T: 30.3263988494873 [C]; A:[-32, 52, 192]; H: 70.02691650390625
SENSE daaa 22 24-04-2019 07:44:49.375 T: 29.88959884643554 [C]; A:[-16, -60, 214]; H: 70.54571533203125
SENSE daac 22 24-04-2019 07:44:49.484 T: 30.26399993896484 [C]; A:[-34, 54, 196]; H: 70.02691650390625
SENSE daab 17 24-04-2019 07:44:47.712 T: 29.764799118042 [C]; A:[76, 2, 218]; H: 70.0498046875
SENSE daac 23 24-04-2019 07:44:49.849 T: 30.26399993896484 [C]; A:[-40, 58, 196]; H: 70.02691650390625
SENSE daab 18 24-04-2019 07:44:48.115 T: 29.764799118042 [C]; A:[76, 2, 216]; H: 70.0498046875
SENSE daaa 24 24-04-2019 07:44:50.214 T: 29.88959884643554 [C]; A:[-16, -62, 222]; H: 70.51519775390625
SENSE daac 24 24-04-2019 07:44:50.204 T: 30.26399993896484 [C]; A:[-32, 48, 184]; H: 70.02691650390625
SENSE daab 19 24-04-2019 07:44:48.471 T: 29.7023983001709 [C]; A:[80, 0, 218]; H: 70.0498046875
SENSE daad 17 24-04-2019 07:44:47.702 T: 30.0767993927002 [C]; A:[38, -46, 242]; H: 67.46343994140625
SENSE daaa 25 24-04-2019 07:44:50.636 T: 29.88959884643554 [C]; A:[-18, -60, 216]; H: 70.51519775390625
SENSE daac 25 24-04-2019 07:44:50.629 T: 30.26399993896484 [C]; A:[-36, 54, 188]; H: 70.02691650390625
SENSE daab 20 24-04-2019 07:44:48.825 T: 29.7023983001709 [C]; A:[76, 6, 222]; H: 70.0498046875
SENSE daac 26 24-04-2019 07:44:50.984 T: 30.26399993896484 [C]; A:[-36, 54, 188]; H: 70.02691650390625
SENSE daaa 26 24-04-2019 07:44:51.058 T: 29.88959884643554 [C]; A:[-14, -62, 222]; H: 70.51519775390625
SENSE daad 18 24-04-2019 07:44:48.133 T: 30.0767993927002 [C]; A:[42, -48, 238]; H: 67.46343994140625
SENSE daab 21 24-04-2019 07:44:49.188 T: 29.7023983001709 [C]; A:[72, 0, 224]; H: 70.0498046875
SENSE daac 28 24-04-2019 07:44:51.755 T: 30.26399993896484 [C]; A:[-36, 56, 194]; H: 70.02691650390625
SENSE daaa 28 24-04-2019 07:44:51.823 T: 29.88959884643554 [C]; A:[-16, -58, 218]; H: 70.51519775390625
SENSE daad 20 24-04-2019 07:44:48.942 T: 30.0767993927002 [C]; A:[44, -40, 240]; H: 67.46343994140625
SENSE daab 22 24-04-2019 07:44:49.630 T: 29.7023983001709 [C]; A:[76, 0, 214]; H: 70.0498046875
SENSE daad 21 24-04-2019 07:44:49.374 T: 30.0767993927002 [C]; A:[38, -44, 234]; H: 67.4100341796875
SENSE daad 22 24-04-2019 07:44:49.739 T: 30.0767993927002 [C]; A:[38, -52, 240]; H: 67.4100341796875
SENSE daaa 29 24-04-2019 07:44:52.255 T: 29.95199966430664 [C]; A:[-18, -56, 222]; H: 70.51519775390625
SENSE daad 23 24-04-2019 07:44:50.093 T: 30.0767993927002 [C]; A:[44, -46, 238]; H: 67.4100341796875
SENSE daad 24 24-04-2019 07:44:50.449 T: 30.0767993927002 [C]; A:[38, -54, 238]; H: 67.4100341796875
SENSE daab 23 24-04-2019 07:44:50.024 T: 29.7023983001709 [C]; A:[76, 4, 194]; H: 70.0498046875
SENSE daaa 30 24-04-2019 07:44:52.718 T: 29.88959884643554 [C]; A:[-18, -58, 214]; H: 70.51519775390625
SENSE daac 30 24-04-2019 07:44:52.800 T: 30.26399993896484 [C]; A:[-36, 50, 200]; H: 70.02691650390625
