SENSE daaa 1 24-04-2019 22:47:10.595 T: 28.07999992370605 [C]; A:[-26, -4, 220]; H: 73.27703857421875
SENSE daac 1 24-04-2019 22:47:10.592 T: 28.07999992370605 [C]; A:[22, -46, 236]; H: 69.98114013671875
SENSE daab 1 24-04-2019 22:47:10.593 T: 31.44959831237792 [C]; A:[54, 0, 230]; H: 65.4874267578125
SENSE daad 1 24-04-2019 22:47:10.592 T: 28.64159965515136 [C]; A:[58, 80, 212]; H: 69.7904052734375
SENSE daaa 2 24-04-2019 22:47:11.025 T: 28.07999992370605 [C]; A:[-18, -8, 216]; H: 73.27703857421875
SENSE daac 2 24-04-2019 22:47:11.023 T: 28.07999992370605 [C]; A:[16, -46, 242]; H: 69.98114013671875
SENSE daab 2 24-04-2019 22:47:10.841 T: 31.44959831237792 [C]; A:[56, 0, 230]; H: 65.4569091796875
SENSE daad 2 24-04-2019 22:47:10.842 T: 28.64159965515136 [C]; A:[66, 76, 202]; H: 69.75225830078125
SENSE daab 3 24-04-2019 22:47:11.084 T: 31.44959831237792 [C]; A:[52, 0, 232]; H: 65.4263916015625
SENSE daad 3 24-04-2019 22:47:11.089 T: 28.64159965515136 [C]; A:[68, 76, 206]; H: 69.75225830078125
SENSE daaa 3 24-04-2019 22:47:11.541 T: 28.14239883422851 [C]; A:[-20, -14, 262]; H: 73.27703857421875
SENSE daac 3 24-04-2019 22:47:11.527 T: 28.07999992370605 [C]; A:[16, -50, 242]; H: 69.98114013671875
SENSE daab 4 24-04-2019 22:47:11.332 T: 31.44959831237792 [C]; A:[52, 0, 226]; H: 65.3958740234375
SENSE daad 4 24-04-2019 22:47:11.342 T: 28.64159965515136 [C]; A:[66, 76, 206]; H: 69.72174072265625
SENSE daab 5 24-04-2019 22:47:11.576 T: 31.51199913024902 [C]; A:[52, 0, 234]; H: 65.3653564453125
SENSE daac 4 24-04-2019 22:47:11.924 T: 28.07999992370605 [C]; A:[16, -46, 246]; H: 70.01165771484375
SENSE daaa 4 24-04-2019 22:47:12.053 T: 28.07999992370605 [C]; A:[-22, -8, 220]; H: 73.24652099609375
SENSE daad 6 24-04-2019 22:47:11.794 T: 28.64159965515136 [C]; A:[70, 76, 216]; H: 69.69122314453125
