SENSE daab 28 19-04-2019 09:07:49.501 T: 28.01759910583496 [C]; A:[18, -20, 230]; H: 78.81597900390625
SENSE daab 29 19-04-2019 09:07:49.991 T: 28.01759910583496 [C]; A:[18, -20, 224]; H: 78.8541259765625
SENSE daab 30 19-04-2019 09:07:50.483 T: 28.01759910583496 [C]; A:[22, -16, 222]; H: 78.81597900390625
SENSE daac 1 19-04-2019 09:07:30.464 T: 28.07999992370605 [C]; A:[0, 0, 0]; H: 78.25140380859375
SENSE daaa 22 19-04-2019 09:07:46.026 T: 28.07999992370605 [C]; A:[12, -16, 248]; H: 76.2601318359375
SENSE daaa 23 19-04-2019 09:07:51.579 T: 28.14239883422851 [C]; A:[14, -14, 248]; H: 76.11517333984375
SENSE daac 2 19-04-2019 09:07:51.343 T: 28.26719856262207 [C]; A:[2, 12, 234]; H: 78.1827392578125
SENSE daaa 24 19-04-2019 09:07:52.041 T: 28.14239883422851 [C]; A:[14, -18, 244]; H: 76.11517333984375
SENSE daaa 25 19-04-2019 09:07:52.609 T: 28.14239883422851 [C]; A:[14, -14, 248]; H: 76.09228515625
SENSE daac 3 19-04-2019 09:07:52.373 T: 28.26719856262207 [C]; A:[0, 8, 230]; H: 78.1522216796875
SENSE daac 4 19-04-2019 09:07:53.344 T: 28.26719856262207 [C]; A:[6, 8, 260]; H: 78.1522216796875
SENSE daac 5 19-04-2019 09:07:53.906 T: 28.26719856262207 [C]; A:[2, 8, 234]; H: 78.1522216796875
SENSE daac 6 19-04-2019 09:07:54.459 T: 28.32959938049316 [C]; A:[0, 10, 226]; H: 78.1217041015625
SENSE daac 7 19-04-2019 09:07:55.032 T: 28.26719856262207 [C]; A:[4, 12, 250]; H: 78.09881591796875
SENSE daac 8 19-04-2019 09:07:55.574 T: 28.32959938049316 [C]; A:[6, 8, 238]; H: 78.09881591796875
SENSE daab 31 19-04-2019 09:07:50.995 T: 28.01759910583496 [C]; A:[16, -22, 224]; H: 78.8541259765625
SENSE daaa 26 19-04-2019 09:07:57.636 T: 28.2047996520996 [C]; A:[14, -16, 248]; H: 76.00836181640625
