SENSE daad 13 24-04-2019 06:07:04.317 T: 29.57759857177734 [C]; A:[4, -72, 210]; H: 71.7740478515625
SENSE daaa 14 24-04-2019 06:07:04.652 T: 30.45119857788085 [C]; A:[0, -8, 230]; H: 68.42474365234375
SENSE daab 14 24-04-2019 06:07:04.650 T: 30.76319885253906 [C]; A:[42, 26, 242]; H: 65.5484619140625
SENSE daac 14 24-04-2019 06:07:04.653 T: 30.6383991241455 [C]; A:[-30, 54, 194]; H: 69.43182373046875
SENSE daad 14 24-04-2019 06:07:04.648 T: 29.57759857177734 [C]; A:[0, -72, 214]; H: 71.81219482421875
SENSE daaa 15 24-04-2019 06:07:04.988 T: 30.3887996673584 [C]; A:[0, -6, 234]; H: 68.42474365234375
SENSE daab 15 24-04-2019 06:07:04.987 T: 30.82559967041015 [C]; A:[38, 30, 246]; H: 65.5484619140625
SENSE daac 15 24-04-2019 06:07:04.984 T: 30.6383991241455 [C]; A:[-32, 56, 188]; H: 69.43182373046875
SENSE daad 15 24-04-2019 06:07:04.986 T: 29.57759857177734 [C]; A:[6, -72, 216]; H: 71.81219482421875
SENSE daaa 16 24-04-2019 06:07:05.324 T: 30.3887996673584 [C]; A:[0, 0, 234]; H: 68.42474365234375
SENSE daab 16 24-04-2019 06:07:05.324 T: 30.82559967041015 [C]; A:[40, 30, 244]; H: 65.5484619140625
SENSE daac 16 24-04-2019 06:07:05.321 T: 30.6383991241455 [C]; A:[-28, 56, 196]; H: 69.43182373046875
SENSE daad 16 24-04-2019 06:07:05.322 T: 29.57759857177734 [C]; A:[6, -74, 214]; H: 71.81219482421875
SENSE daaa 17 24-04-2019 06:07:05.657 T: 30.3887996673584 [C]; A:[0, 0, 230]; H: 68.42474365234375
SENSE daab 17 24-04-2019 06:07:05.655 T: 30.76319885253906 [C]; A:[42, 28, 244]; H: 65.5484619140625
SENSE daac 17 24-04-2019 06:07:05.651 T: 30.6383991241455 [C]; A:[-26, 56, 196]; H: 69.43182373046875
