SENSE daac 11 23-04-2019 21:34:48.093 T: 30.76319885253906 [C]; A:[16, -88, 212]; H: 70.14898681640625
SENSE daaa 17 23-04-2019 21:34:48.504 T: 31.63679885864257 [C]; A:[-64, -46, 236]; H: 65.59423828125
SENSE daac 12 23-04-2019 21:34:51.563 T: 30.76319885253906 [C]; A:[8, -82, 214]; H: 70.1871337890625
SENSE daaa 18 23-04-2019 21:34:51.968 T: 31.63679885864257 [C]; A:[-66, -44, 234]; H: 65.563720703125
SENSE daac 13 23-04-2019 21:34:52.130 T: 30.76319885253906 [C]; A:[10, -78, 216]; H: 70.1871337890625
SENSE daaa 19 23-04-2019 21:34:52.541 T: 31.63679885864257 [C]; A:[-64, -46, 234]; H: 65.563720703125
SENSE daac 14 23-04-2019 21:34:52.710 T: 30.76319885253906 [C]; A:[12, -82, 214]; H: 70.1871337890625
SENSE daaa 20 23-04-2019 21:34:53.119 T: 31.63679885864257 [C]; A:[-64, -48, 234]; H: 65.563720703125
SENSE daac 15 23-04-2019 21:34:53.291 T: 30.7007999420166 [C]; A:[12, -78, 210]; H: 70.1871337890625
SENSE daaa 21 23-04-2019 21:34:53.695 T: 31.63679885864257 [C]; A:[-64, -42, 240]; H: 65.563720703125
SENSE daab 16 23-04-2019 21:34:51.039 T: 31.63679885864257 [C]; A:[60, -16, 224]; H: 66.91412353515625
SENSE daad 11 23-04-2019 21:34:51.214 T: 31.26239967346191 [C]; A:[-46, 42, 198]; H: 69.37078857421875
SENSE daab 17 23-04-2019 21:34:54.506 T: 31.57439994812011 [C]; A:[56, -16, 218]; H: 66.91412353515625
SENSE daad 12 23-04-2019 21:34:54.670 T: 31.26239967346191 [C]; A:[-42, 46, 192]; H: 69.4241943359375
SENSE daab 18 23-04-2019 21:34:55.072 T: 31.63679885864257 [C]; A:[58, -18, 218]; H: 66.91412353515625
SENSE daad 13 23-04-2019 21:34:55.251 T: 31.26239967346191 [C]; A:[-40, 48, 192]; H: 69.4241943359375
SENSE daab 19 23-04-2019 21:34:55.653 T: 31.63679885864257 [C]; A:[54, -20, 230]; H: 66.91412353515625
SENSE daad 14 23-04-2019 21:34:55.821 T: 31.26239967346191 [C]; A:[-46, 48, 196]; H: 69.4241943359375
SENSE daab 20 23-04-2019 21:34:56.230 T: 31.63679885864257 [C]; A:[58, -16, 216]; H: 66.91412353515625
SENSE daad 15 23-04-2019 21:34:56.406 T: 31.26239967346191 [C]; A:[-42, 46, 198]; H: 69.4241943359375
SENSE daac 16 23-04-2019 21:34:53.862 T: 30.76319885253906 [C]; A:[10, -78, 212]; H: 70.1871337890625
SENSE daaa 22 23-04-2019 21:34:54.268 T: 31.63679885864257 [C]; A:[-62, -44, 234]; H: 65.563720703125
SENSE daac 17 23-04-2019 21:34:57.327 T: 30.76319885253906 [C]; A:[12, -78, 216]; H: 70.1871337890625
SENSE daaa 23 23-04-2019 21:34:57.741 T: 31.63679885864257 [C]; A:[-64, -44, 240]; H: 65.563720703125
SENSE daac 18 23-04-2019 21:34:57.908 T: 30.76319885253906 [C]; A:[10, -84, 212]; H: 70.1871337890625
SENSE daaa 24 23-04-2019 21:34:58.314 T: 31.63679885864257 [C]; A:[-64, -42, 238]; H: 65.563720703125
SENSE daac 19 23-04-2019 21:34:58.479 T: 30.7007999420166 [C]; A:[10, -80, 212]; H: 70.2176513671875
SENSE daaa 25 23-04-2019 21:34:58.876 T: 31.63679885864257 [C]; A:[-64, -46, 244]; H: 65.563720703125
SENSE daac 20 23-04-2019 21:34:59.051 T: 30.76319885253906 [C]; A:[12, -80, 212]; H: 70.2176513671875
SENSE daaa 26 23-04-2019 21:34:59.454 T: 31.63679885864257 [C]; A:[-64, -46, 242]; H: 65.563720703125
SENSE daab 21 23-04-2019 21:34:56.811 T: 31.63679885864257 [C]; A:[56, -8, 222]; H: 66.91412353515625
SENSE daad 16 23-04-2019 21:34:56.981 T: 31.26239967346191 [C]; A:[-50, 46, 196]; H: 69.4547119140625
SENSE daab 22 23-04-2019 21:35:00.263 T: 31.63679885864257 [C]; A:[48, -16, 220]; H: 66.8912353515625
SENSE daad 17 23-04-2019 21:35:00.437 T: 31.26239967346191 [C]; A:[-48, 48, 192]; H: 69.4852294921875
SENSE daab 23 23-04-2019 21:35:00.844 T: 31.63679885864257 [C]; A:[60, -18, 226]; H: 66.8912353515625
SENSE daad 18 23-04-2019 21:35:01.012 T: 31.19999885559082 [C]; A:[-42, 42, 190]; H: 69.4852294921875
SENSE daab 24 23-04-2019 21:35:01.415 T: 31.63679885864257 [C]; A:[54, -16, 224]; H: 66.8912353515625
SENSE daad 19 23-04-2019 21:35:01.578 T: 31.19999885559082 [C]; A:[-40, 44, 196]; H: 69.4852294921875
SENSE daab 25 23-04-2019 21:35:01.986 T: 31.63679885864257 [C]; A:[56, -16, 220]; H: 66.8607177734375
SENSE daad 20 23-04-2019 21:35:02.148 T: 31.19999885559082 [C]; A:[-42, 44, 192]; H: 69.4852294921875
SENSE daac 21 23-04-2019 21:34:59.631 T: 30.76319885253906 [C]; A:[8, -80, 210]; H: 70.2176513671875
SENSE daaa 27 23-04-2019 21:35:00.031 T: 31.69919967651367 [C]; A:[-66, -46, 234]; H: 65.533203125
