SENSE daad 13 24-04-2019 09:05:56.432 T: 32.5103988647461 [C]; A:[0, 66, 226]; H: 61.87109375
SENSE daaa 14 24-04-2019 09:05:56.770 T: 31.01279830932617 [C]; A:[88, -22, 232]; H: 61.81768798828125
SENSE daab 14 24-04-2019 09:05:56.770 T: 30.3263988494873 [C]; A:[-28, -36, 226]; H: 65.60186767578125
SENSE daac 14 24-04-2019 09:05:56.768 T: 30.88799858093261 [C]; A:[240, 78, 24]; H: 63.27490234375
SENSE daad 14 24-04-2019 09:05:56.766 T: 32.5103988647461 [C]; A:[0, 68, 226]; H: 61.87109375
SENSE daaa 15 24-04-2019 09:05:57.104 T: 31.01279830932617 [C]; A:[88, -22, 236]; H: 61.81768798828125
SENSE daab 15 24-04-2019 09:05:57.102 T: 30.26399993896484 [C]; A:[-24, -40, 222]; H: 65.5484619140625
SENSE daac 15 24-04-2019 09:05:57.100 T: 30.88799858093261 [C]; A:[240, 80, 18]; H: 63.27490234375
SENSE daad 15 24-04-2019 09:05:57.097 T: 32.57279968261718 [C]; A:[-6, 72, 218]; H: 61.840576171875
SENSE daaa 16 24-04-2019 09:05:57.437 T: 31.01279830932617 [C]; A:[86, -16, 234]; H: 61.81768798828125
SENSE daab 16 24-04-2019 09:05:57.437 T: 30.26399993896484 [C]; A:[-26, -36, 230]; H: 65.5179443359375
SENSE daac 16 24-04-2019 09:05:57.434 T: 30.88799858093261 [C]; A:[238, 82, 20]; H: 63.305419921875
SENSE daad 16 24-04-2019 09:05:57.432 T: 32.63520050048828 [C]; A:[0, 66, 230]; H: 61.81768798828125
SENSE daaa 17 24-04-2019 09:05:57.770 T: 30.95039939880371 [C]; A:[86, -20, 236]; H: 61.81768798828125
SENSE daab 17 24-04-2019 09:05:57.770 T: 30.3263988494873 [C]; A:[-30, -32, 220]; H: 65.4569091796875
SENSE daac 17 24-04-2019 09:05:57.768 T: 30.88799858093261 [C]; A:[238, 76, 22]; H: 63.32830810546875
SENSE daad 17 24-04-2019 09:05:57.766 T: 32.57279968261718 [C]; A:[0, 68, 230]; H: 61.78717041015625
SENSE daaa 18 24-04-2019 09:05:58.105 T: 30.95039939880371 [C]; A:[88, -20, 226]; H: 61.81768798828125
SENSE daab 18 24-04-2019 09:05:58.104 T: 30.3263988494873 [C]; A:[-26, -40, 224]; H: 65.43402099609375
SENSE daac 18 24-04-2019 09:05:58.102 T: 30.88799858093261 [C]; A:[238, 76, 18]; H: 63.32830810546875
SENSE daad 18 24-04-2019 09:05:58.099 T: 32.57279968261718 [C]; A:[0, 64, 222]; H: 61.78717041015625
SENSE daaa 19 24-04-2019 09:05:58.438 T: 30.95039939880371 [C]; A:[86, -16, 236]; H: 61.81768798828125
SENSE daab 19 24-04-2019 09:05:58.436 T: 30.3263988494873 [C]; A:[-30, -32, 228]; H: 65.40350341796875
SENSE daac 19 24-04-2019 09:05:58.434 T: 30.88799858093261 [C]; A:[238, 76, 16]; H: 63.35882568359375
SENSE daad 19 24-04-2019 09:05:58.432 T: 32.57279968261718 [C]; A:[-6, 70, 232]; H: 61.78717041015625
SENSE daaa 20 24-04-2019 09:05:58.773 T: 30.95039939880371 [C]; A:[92, -20, 232]; H: 61.81768798828125
SENSE daab 20 24-04-2019 09:05:58.773 T: 30.3263988494873 [C]; A:[-24, -36, 224]; H: 65.37298583984375
SENSE daac 20 24-04-2019 09:05:58.771 T: 30.88799858093261 [C]; A:[240, 82, 20]; H: 63.38934326171875
SENSE daad 20 24-04-2019 09:05:58.770 T: 32.57279968261718 [C]; A:[0, 66, 232]; H: 61.75665283203125
SENSE daaa 21 24-04-2019 09:05:59.117 T: 30.95039939880371 [C]; A:[84, -20, 230]; H: 61.84820556640625
SENSE daab 21 24-04-2019 09:05:59.109 T: 30.3263988494873 [C]; A:[-30, -32, 258]; H: 65.34246826171875
SENSE daac 21 24-04-2019 09:05:59.106 T: 30.88799858093261 [C]; A:[238, 82, 18]; H: 63.41986083984375
SENSE daad 21 24-04-2019 09:05:59.104 T: 32.57279968261718 [C]; A:[-10, 66, 238]; H: 61.72613525390625
SENSE daaa 22 24-04-2019 09:05:59.442 T: 30.95039939880371 [C]; A:[90, -18, 228]; H: 61.84820556640625
SENSE daab 22 24-04-2019 09:05:59.440 T: 30.3263988494873 [C]; A:[-24, -36, 230]; H: 65.319580078125
SENSE daac 22 24-04-2019 09:05:59.436 T: 30.88799858093261 [C]; A:[234, 80, 24]; H: 63.41986083984375
SENSE daad 22 24-04-2019 09:05:59.434 T: 32.57279968261718 [C]; A:[0, 64, 230]; H: 61.69561767578125
SENSE daaa 23 24-04-2019 09:05:59.772 T: 30.95039939880371 [C]; A:[86, -22, 230]; H: 61.90924072265625
SENSE daab 23 24-04-2019 09:05:59.771 T: 30.3887996673584 [C]; A:[-24, -36, 218]; H: 65.2890625
SENSE daac 23 24-04-2019 09:05:59.768 T: 30.88799858093261 [C]; A:[240, 78, 20]; H: 63.45037841796875
SENSE daad 23 24-04-2019 09:05:59.767 T: 32.57279968261718 [C]; A:[0, 64, 226]; H: 61.69561767578125
SENSE daaa 24 24-04-2019 09:06:00.110 T: 30.95039939880371 [C]; A:[88, -18, 230]; H: 61.90924072265625
SENSE daab 24 24-04-2019 09:06:00.110 T: 30.3263988494873 [C]; A:[-30, -34, 228]; H: 65.258544921875
SENSE daac 24 24-04-2019 09:06:00.106 T: 30.88799858093261 [C]; A:[240, 78, 22]; H: 63.45037841796875
SENSE daad 24 24-04-2019 09:06:00.103 T: 32.5103988647461 [C]; A:[0, 64, 226]; H: 61.72613525390625
SENSE daaa 25 24-04-2019 09:06:00.441 T: 30.95039939880371 [C]; A:[86, -24, 230]; H: 61.93975830078125
SENSE daab 25 24-04-2019 09:06:00.440 T: 30.3887996673584 [C]; A:[-22, -38, 220]; H: 65.22802734375
SENSE daac 25 24-04-2019 09:06:00.438 T: 30.88799858093261 [C]; A:[240, 76, 24]; H: 63.45037841796875
SENSE daad 25 24-04-2019 09:06:00.435 T: 32.57279968261718 [C]; A:[2, 70, 216]; H: 61.72613525390625
SENSE daaa 26 24-04-2019 09:06:00.775 T: 30.95039939880371 [C]; A:[86, -18, 230]; H: 61.93975830078125
SENSE daab 26 24-04-2019 09:06:00.774 T: 30.3263988494873 [C]; A:[-26, -40, 224]; H: 65.20513916015625
SENSE daac 26 24-04-2019 09:06:00.771 T: 30.88799858093261 [C]; A:[240, 80, 24]; H: 63.45037841796875
SENSE daad 26 24-04-2019 09:06:00.770 T: 32.57279968261718 [C]; A:[0, 66, 232]; H: 61.72613525390625
SENSE daaa 27 24-04-2019 09:06:01.110 T: 30.95039939880371 [C]; A:[86, -20, 230]; H: 61.97027587890625
SENSE daab 27 24-04-2019 09:06:01.108 T: 30.3887996673584 [C]; A:[-28, -38, 226]; H: 65.20513916015625
SENSE daac 27 24-04-2019 09:06:01.107 T: 30.82559967041015 [C]; A:[240, 76, 24]; H: 63.45037841796875
SENSE daad 27 24-04-2019 09:06:01.105 T: 32.57279968261718 [C]; A:[0, 62, 230]; H: 61.72613525390625
SENSE daaa 28 24-04-2019 09:06:01.443 T: 30.95039939880371 [C]; A:[86, -18, 228]; H: 61.9931640625
SENSE daab 28 24-04-2019 09:06:01.443 T: 30.3887996673584 [C]; A:[-24, -40, 228]; H: 65.17462158203125
SENSE daac 28 24-04-2019 09:06:01.441 T: 30.82559967041015 [C]; A:[238, 80, 18]; H: 63.41986083984375
SENSE daad 28 24-04-2019 09:06:01.437 T: 32.57279968261718 [C]; A:[0, 72, 224]; H: 61.72613525390625
SENSE daaa 29 24-04-2019 09:06:01.774 T: 30.95039939880371 [C]; A:[88, -20, 236]; H: 61.9931640625
SENSE daab 29 24-04-2019 09:06:01.773 T: 30.3263988494873 [C]; A:[-28, -34, 228]; H: 65.14410400390625
SENSE daac 29 24-04-2019 09:06:01.772 T: 30.88799858093261 [C]; A:[242, 80, 26]; H: 63.35882568359375
SENSE daad 29 24-04-2019 09:06:01.771 T: 32.57279968261718 [C]; A:[-4, 64, 228]; H: 61.72613525390625
SENSE daaa 30 24-04-2019 09:06:02.110 T: 30.95039939880371 [C]; A:[90, -22, 234]; H: 61.9931640625
SENSE daab 30 24-04-2019 09:06:02.109 T: 30.3887996673584 [C]; A:[-28, -34, 224]; H: 65.14410400390625
SENSE daac 30 24-04-2019 09:06:02.106 T: 30.88799858093261 [C]; A:[228, 80, 20]; H: 63.305419921875
SENSE daad 30 24-04-2019 09:06:02.105 T: 32.57279968261718 [C]; A:[0, 70, 224]; H: 61.72613525390625
SENSE daaa 31 24-04-2019 09:06:02.444 T: 30.88799858093261 [C]; A:[88, -26, 230]; H: 62.023681640625
SENSE daab 31 24-04-2019 09:06:02.443 T: 30.45119857788085 [C]; A:[-24, -40, 228]; H: 65.11358642578125
SENSE daac 31 24-04-2019 09:06:02.440 T: 30.88799858093261 [C]; A:[234, 80, 24]; H: 63.27490234375
SENSE daad 31 24-04-2019 09:06:02.439 T: 32.57279968261718 [C]; A:[0, 66, 228]; H: 61.69561767578125
SENSE daaa 32 24-04-2019 09:06:02.777 T: 30.95039939880371 [C]; A:[88, -16, 230]; H: 62.023681640625
SENSE daab 32 24-04-2019 09:06:02.776 T: 30.3887996673584 [C]; A:[-24, -40, 226]; H: 65.11358642578125
SENSE daac 32 24-04-2019 09:06:02.774 T: 30.88799858093261 [C]; A:[242, 78, 20]; H: 63.244384765625
SENSE daad 32 24-04-2019 09:06:02.773 T: 32.57279968261718 [C]; A:[0, 68, 230]; H: 61.69561767578125
SENSE daaa 33 24-04-2019 09:06:03.111 T: 30.95039939880371 [C]; A:[88, -22, 232]; H: 62.023681640625
SENSE daab 33 24-04-2019 09:06:03.113 T: 30.45119857788085 [C]; A:[-26, -40, 234]; H: 65.11358642578125
SENSE daac 33 24-04-2019 09:06:03.112 T: 30.88799858093261 [C]; A:[240, 74, 20]; H: 63.2138671875
SENSE daad 33 24-04-2019 09:06:03.110 T: 32.57279968261718 [C]; A:[0, 64, 226]; H: 61.69561767578125
SENSE daaa 34 24-04-2019 09:06:03.353 T: 30.95039939880371 [C]; A:[80, -16, 232]; H: 62.023681640625
SENSE daab 34 24-04-2019 09:06:03.453 T: 30.3887996673584 [C]; A:[-30, -40, 220]; H: 65.0906982421875
SENSE daac 34 24-04-2019 09:06:03.452 T: 30.88799858093261 [C]; A:[232, 78, 24]; H: 63.183349609375
SENSE daaa 35 24-04-2019 09:06:03.603 T: 30.95039939880371 [C]; A:[86, -18, 230]; H: 61.9931640625
SENSE daad 34 24-04-2019 09:06:03.450 T: 32.57279968261718 [C]; A:[0, 70, 230]; H: 61.69561767578125
SENSE daaa 36 24-04-2019 09:06:03.842 T: 30.95039939880371 [C]; A:[86, -22, 232]; H: 61.9931640625
SENSE daab 35 24-04-2019 09:06:03.785 T: 30.3887996673584 [C]; A:[-28, -42, 224]; H: 65.0906982421875
SENSE daac 35 24-04-2019 09:06:03.782 T: 30.88799858093261 [C]; A:[244, 86, 14]; H: 63.122314453125
SENSE daad 35 24-04-2019 09:06:03.778 T: 32.63520050048828 [C]; A:[0, 72, 230]; H: 61.72613525390625
SENSE daaa 37 24-04-2019 09:06:04.116 T: 30.88799858093261 [C]; A:[86, -18, 238]; H: 61.9931640625
SENSE daab 36 24-04-2019 09:06:04.115 T: 30.3887996673584 [C]; A:[-28, -34, 228]; H: 65.09832763671875
SENSE daac 36 24-04-2019 09:06:04.113 T: 30.88799858093261 [C]; A:[238, 82, 20]; H: 63.061279296875
SENSE daad 36 24-04-2019 09:06:04.110 T: 32.57279968261718 [C]; A:[-4, 64, 228]; H: 61.72613525390625
SENSE daaa 38 24-04-2019 09:06:04.449 T: 30.95039939880371 [C]; A:[82, -18, 234]; H: 61.9931640625
SENSE daab 37 24-04-2019 09:06:04.448 T: 30.45119857788085 [C]; A:[-26, -38, 218]; H: 65.09832763671875
SENSE daac 37 24-04-2019 09:06:04.446 T: 30.88799858093261 [C]; A:[236, 78, 22]; H: 63.000244140625
SENSE daad 37 24-04-2019 09:06:04.443 T: 32.57279968261718 [C]; A:[0, 68, 224]; H: 61.72613525390625
SENSE daaa 39 24-04-2019 09:06:04.781 T: 30.95039939880371 [C]; A:[88, -24, 232]; H: 62.023681640625
SENSE daab 38 24-04-2019 09:06:04.779 T: 30.45119857788085 [C]; A:[-28, -36, 232]; H: 65.075439453125
SENSE daac 38 24-04-2019 09:06:04.777 T: 30.88799858093261 [C]; A:[236, 82, 24]; H: 62.9697265625
SENSE daad 38 24-04-2019 09:06:04.775 T: 32.57279968261718 [C]; A:[0, 66, 226]; H: 61.72613525390625
SENSE daaa 40 24-04-2019 09:06:05.114 T: 30.88799858093261 [C]; A:[84, -20, 234]; H: 62.023681640625
SENSE daab 39 24-04-2019 09:06:05.114 T: 30.45119857788085 [C]; A:[-22, -34, 226]; H: 65.044921875
SENSE daac 39 24-04-2019 09:06:05.112 T: 30.88799858093261 [C]; A:[240, 84, 24]; H: 62.94683837890625
SENSE daad 39 24-04-2019 09:06:05.111 T: 32.63520050048828 [C]; A:[-4, 66, 230]; H: 61.75665283203125
SENSE daaa 41 24-04-2019 09:06:05.454 T: 30.88799858093261 [C]; A:[86, -16, 234]; H: 62.023681640625
SENSE daab 40 24-04-2019 09:06:05.453 T: 30.45119857788085 [C]; A:[-30, -40, 224]; H: 65.044921875
SENSE daac 40 24-04-2019 09:06:05.449 T: 30.88799858093261 [C]; A:[234, 80, 20]; H: 62.94683837890625
SENSE daad 40 24-04-2019 09:06:05.447 T: 32.57279968261718 [C]; A:[-4, 64, 232]; H: 61.78717041015625
