SENSE daaa 48 25-04-2019 13:28:38.112 T: 28.57919883728027 [C]; A:[102, 4, 216]; H: 60.96319580078125
SENSE daaa 49 25-04-2019 13:28:38.404 T: 28.57919883728027 [C]; A:[94, 2, 216]; H: 60.96319580078125
SENSE daaa 50 25-04-2019 13:28:38.737 T: 28.57919883728027 [C]; A:[96, 0, 214]; H: 60.96319580078125
SENSE daab 24 25-04-2019 13:28:36.467 T: 28.64159965515136 [C]; A:[30, -56, 242]; H: 57.873291015625
SENSE daaa 51 25-04-2019 13:28:39.139 T: 28.57919883728027 [C]; A:[96, 2, 212]; H: 60.96319580078125
SENSE daaa 52 25-04-2019 13:28:39.467 T: 28.57919883728027 [C]; A:[96, 4, 208]; H: 60.96319580078125
SENSE daaa 53 25-04-2019 13:28:39.810 T: 28.57919883728027 [C]; A:[98, 6, 220]; H: 60.96319580078125
SENSE daab 26 25-04-2019 13:28:37.774 T: 28.64159965515136 [C]; A:[28, -56, 242]; H: 57.995361328125
SENSE daaa 55 25-04-2019 13:28:40.465 T: 28.57919883728027 [C]; A:[96, 0, 206]; H: 60.9403076171875
SENSE daaa 57 25-04-2019 13:28:41.066 T: 28.57919883728027 [C]; A:[98, 0, 208]; H: 60.96319580078125
SENSE daaa 58 25-04-2019 13:28:41.414 T: 28.57919883728027 [C]; A:[100, 0, 216]; H: 60.96319580078125
SENSE daaa 59 25-04-2019 13:28:41.746 T: 28.57919883728027 [C]; A:[98, 2, 210]; H: 60.96319580078125
SENSE daaa 60 25-04-2019 13:28:42.034 T: 28.51679992675781 [C]; A:[98, 4, 202]; H: 60.96319580078125
SENSE daaa 61 25-04-2019 13:28:42.362 T: 28.57919883728027 [C]; A:[98, 4, 216]; H: 60.99371337890625
SENSE daaa 62 25-04-2019 13:28:42.655 T: 28.51679992675781 [C]; A:[102, 2, 208]; H: 60.99371337890625
SENSE daaa 63 25-04-2019 13:28:42.962 T: 28.51679992675781 [C]; A:[98, 0, 208]; H: 61.02423095703125
SENSE daaa 64 25-04-2019 13:28:43.300 T: 28.57919883728027 [C]; A:[98, 2, 208]; H: 61.05474853515625
SENSE daac 29 25-04-2019 13:28:39.692 T: 30.51359939575195 [C]; A:[0, 10, 236]; H: 56.9425048828125
SENSE daaa 65 25-04-2019 13:28:43.707 T: 28.57919883728027 [C]; A:[98, 0, 210]; H: 61.05474853515625
SENSE daaa 66 25-04-2019 13:28:44.035 T: 28.57919883728027 [C]; A:[98, 6, 210]; H: 61.07763671875
SENSE daaa 67 25-04-2019 13:28:44.378 T: 28.57919883728027 [C]; A:[96, 2, 206]; H: 61.07763671875
SENSE daaa 68 25-04-2019 13:28:44.666 T: 28.57919883728027 [C]; A:[98, 2, 212]; H: 61.108154296875
SENSE daaa 69 25-04-2019 13:28:44.978 T: 28.57919883728027 [C]; A:[96, 2, 208]; H: 61.138671875
SENSE daaa 70 25-04-2019 13:28:45.321 T: 28.51679992675781 [C]; A:[100, 4, 208]; H: 61.138671875
SENSE daaa 71 25-04-2019 13:28:45.604 T: 28.51679992675781 [C]; A:[96, 2, 210]; H: 61.138671875
SENSE daac 35 25-04-2019 13:28:42.611 T: 30.51359939575195 [C]; A:[2, 6, 236]; H: 56.9425048828125
SENSE daaa 73 25-04-2019 13:28:46.254 T: 28.57919883728027 [C]; A:[102, 0, 212]; H: 61.16156005859375
SENSE daaa 74 25-04-2019 13:28:46.587 T: 28.57919883728027 [C]; A:[100, 0, 208]; H: 61.16156005859375
SENSE daaa 75 25-04-2019 13:28:46.915 T: 28.57919883728027 [C]; A:[94, 0, 212]; H: 61.16156005859375
SENSE daaa 76 25-04-2019 13:28:47.248 T: 28.57919883728027 [C]; A:[100, 2, 212]; H: 61.16156005859375
SENSE daaa 77 25-04-2019 13:28:47.540 T: 28.51679992675781 [C]; A:[96, 2, 206]; H: 61.16156005859375
SENSE daaa 78 25-04-2019 13:28:47.828 T: 28.51679992675781 [C]; A:[98, 0, 214]; H: 61.16156005859375
SENSE daaa 79 25-04-2019 13:28:48.171 T: 28.57919883728027 [C]; A:[98, 6, 204]; H: 61.16156005859375
SENSE daaa 80 25-04-2019 13:28:48.499 T: 28.51679992675781 [C]; A:[100, 0, 210]; H: 61.138671875
SENSE daab 41 25-04-2019 13:28:45.811 T: 28.64159965515136 [C]; A:[36, -58, 238]; H: 58.3463134765625
SENSE daaa 82 25-04-2019 13:28:49.199 T: 28.51679992675781 [C]; A:[98, 0, 210]; H: 61.05474853515625
SENSE daaa 83 25-04-2019 13:28:49.482 T: 28.51679992675781 [C]; A:[100, 2, 210]; H: 61.02423095703125
SENSE daaa 84 25-04-2019 13:28:49.804 T: 28.51679992675781 [C]; A:[100, 2, 210]; H: 60.99371337890625
SENSE daaa 85 25-04-2019 13:28:50.102 T: 28.51679992675781 [C]; A:[98, 0, 208]; H: 60.96319580078125
SENSE daab 44 25-04-2019 13:28:47.325 T: 28.64159965515136 [C]; A:[34, -56, 242]; H: 58.3768310546875
SENSE daaa 87 25-04-2019 13:28:50.758 T: 28.51679992675781 [C]; A:[100, 2, 214]; H: 60.9097900390625
SENSE daaa 88 25-04-2019 13:28:51.041 T: 28.51679992675781 [C]; A:[104, 4, 214]; H: 60.8792724609375
SENSE daab 47 25-04-2019 13:28:48.924 T: 28.70399856567382 [C]; A:[32, -50, 242]; H: 58.5599365234375
SENSE daaa 90 25-04-2019 13:28:51.726 T: 28.51679992675781 [C]; A:[98, 6, 216]; H: 60.85638427734375
SENSE daaa 91 25-04-2019 13:28:52.049 T: 28.51679992675781 [C]; A:[96, 8, 212]; H: 60.7877197265625
SENSE daaa 92 25-04-2019 13:28:52.401 T: 28.51679992675781 [C]; A:[100, 4, 216]; H: 60.7572021484375
SENSE daaa 93 25-04-2019 13:28:52.699 T: 28.51679992675781 [C]; A:[100, 2, 214]; H: 60.73431396484375
SENSE daac 48 25-04-2019 13:28:49.582 T: 30.51359939575195 [C]; A:[0, 8, 232]; H: 56.8814697265625
SENSE daaa 94 25-04-2019 13:28:53.089 T: 28.51679992675781 [C]; A:[98, 6, 214]; H: 60.73431396484375
SENSE daaa 95 25-04-2019 13:28:53.414 T: 28.51679992675781 [C]; A:[100, 0, 210]; H: 60.70379638671875
SENSE daaa 96 25-04-2019 13:28:53.702 T: 28.51679992675781 [C]; A:[98, 4, 206]; H: 60.67327880859375
SENSE daaa 97 25-04-2019 13:28:54.030 T: 28.51679992675781 [C]; A:[98, 0, 208]; H: 60.67327880859375
SENSE daaa 98 25-04-2019 13:28:54.313 T: 28.51679992675781 [C]; A:[102, 0, 212]; H: 60.64276123046875
SENSE daaa 99 25-04-2019 13:28:54.646 T: 28.51679992675781 [C]; A:[96, 8, 208]; H: 60.64276123046875
SENSE daaa 100 25-04-2019 13:28:54.953 T: 28.51679992675781 [C]; A:[96, 0, 206]; H: 60.619873046875
SENSE daaa 101 25-04-2019 13:28:55.276 T: 28.51679992675781 [C]; A:[100, 0, 206]; H: 60.619873046875
SENSE daaa 102 25-04-2019 13:28:55.574 T: 28.51679992675781 [C]; A:[98, 6, 208]; H: 60.619873046875
SENSE daac 53 25-04-2019 13:28:52.303 T: 30.51359939575195 [C]; A:[0, 6, 236]; H: 56.9425048828125
SENSE daaa 103 25-04-2019 13:28:55.986 T: 28.51679992675781 [C]; A:[94, 4, 212]; H: 60.58935546875
SENSE daaa 104 25-04-2019 13:28:56.324 T: 28.51679992675781 [C]; A:[102, 2, 216]; H: 60.58935546875
SENSE daaa 106 25-04-2019 13:28:56.935 T: 28.51679992675781 [C]; A:[94, 2, 214]; H: 60.58935546875
SENSE daaa 107 25-04-2019 13:28:57.257 T: 28.51679992675781 [C]; A:[104, 0, 214]; H: 60.619873046875
