SENSE daac 25 25-04-2019 13:17:41.857 T: 30.51359939575195 [C]; A:[0, 10, 228]; H: 59.23895263671875
SENSE daab 28 25-04-2019 13:17:43.166 T: 28.70399856567382 [C]; A:[30, -56, 238]; H: 59.77301025390625
SENSE daaa 50 25-04-2019 13:17:44.900 T: 29.07839965820312 [C]; A:[98, 4, 212]; H: 61.03948974609375
SENSE daaa 51 25-04-2019 13:17:45.228 T: 29.07839965820312 [C]; A:[98, 4, 216]; H: 61.03948974609375
SENSE daac 26 25-04-2019 13:17:42.340 T: 30.57599830627441 [C]; A:[0, 14, 226]; H: 59.26947021484375
SENSE daaa 52 25-04-2019 13:17:45.635 T: 29.07839965820312 [C]; A:[100, 2, 214]; H: 61.03948974609375
SENSE daaa 54 25-04-2019 13:17:46.166 T: 29.01599884033203 [C]; A:[96, 0, 206]; H: 61.03948974609375
SENSE daad 28 25-04-2019 13:17:43.485 T: 28.82879829406738 [C]; A:[-6, -64, 216]; H: 62.29071044921875
SENSE daaa 56 25-04-2019 13:17:46.837 T: 29.07839965820312 [C]; A:[100, 2, 214]; H: 61.03948974609375
SENSE daab 31 25-04-2019 13:17:44.753 T: 28.64159965515136 [C]; A:[28, -54, 242]; H: 59.74249267578125
SENSE daaa 58 25-04-2019 13:17:47.523 T: 29.07839965820312 [C]; A:[96, 2, 216]; H: 61.03948974609375
SENSE daaa 59 25-04-2019 13:17:47.805 T: 29.07839965820312 [C]; A:[98, 0, 210]; H: 61.03948974609375
SENSE daaa 60 25-04-2019 13:17:48.093 T: 29.07839965820312 [C]; A:[96, 2, 210]; H: 61.03948974609375
SENSE daab 33 25-04-2019 13:17:45.730 T: 28.70399856567382 [C]; A:[36, -54, 242]; H: 59.74249267578125
SENSE daaa 61 25-04-2019 13:17:48.480 T: 29.01599884033203 [C]; A:[100, 0, 208]; H: 61.07000732421875
SENSE daaa 62 25-04-2019 13:17:48.803 T: 29.07839965820312 [C]; A:[98, 4, 204]; H: 61.07000732421875
SENSE daaa 63 25-04-2019 13:17:49.102 T: 29.07839965820312 [C]; A:[98, 2, 214]; H: 61.07000732421875
SENSE daac 33 25-04-2019 13:17:45.940 T: 30.57599830627441 [C]; A:[0, 10, 234]; H: 59.4449462890625
SENSE daaa 64 25-04-2019 13:17:49.504 T: 29.07839965820312 [C]; A:[102, 2, 214]; H: 61.07000732421875
SENSE daaa 65 25-04-2019 13:17:49.807 T: 29.07839965820312 [C]; A:[96, 2, 218]; H: 61.07000732421875
SENSE daaa 66 25-04-2019 13:17:50.129 T: 29.07839965820312 [C]; A:[96, 2, 216]; H: 61.07000732421875
SENSE daaa 67 25-04-2019 13:17:50.417 T: 29.07839965820312 [C]; A:[98, 6, 216]; H: 61.07000732421875
SENSE daaa 68 25-04-2019 13:17:50.740 T: 29.07839965820312 [C]; A:[100, 4, 214]; H: 61.07000732421875
SENSE daaa 69 25-04-2019 13:17:51.064 T: 29.07839965820312 [C]; A:[102, 8, 216]; H: 61.07000732421875
SENSE daaa 70 25-04-2019 13:17:51.391 T: 29.07839965820312 [C]; A:[98, 2, 216]; H: 61.07000732421875
SENSE daaa 71 25-04-2019 13:17:51.679 T: 29.07839965820312 [C]; A:[96, 0, 210]; H: 61.10052490234375
SENSE daaa 72 25-04-2019 13:17:52.007 T: 29.07839965820312 [C]; A:[98, 0, 212]; H: 61.10052490234375
SENSE daaa 73 25-04-2019 13:17:52.290 T: 29.07839965820312 [C]; A:[98, 0, 214]; H: 61.10052490234375
SENSE daab 39 25-04-2019 13:17:49.313 T: 28.70399856567382 [C]; A:[38, -60, 236]; H: 59.83404541015625
SENSE daac 39 25-04-2019 13:17:49.525 T: 30.6383991241455 [C]; A:[0, 6, 234]; H: 59.74249267578125
SENSE daaa 74 25-04-2019 13:17:52.767 T: 29.07839965820312 [C]; A:[96, 2, 214]; H: 61.10052490234375
SENSE daaa 75 25-04-2019 13:17:53.114 T: 29.07839965820312 [C]; A:[96, 4, 212]; H: 61.13104248046875
SENSE daaa 76 25-04-2019 13:17:53.437 T: 29.07839965820312 [C]; A:[100, 8, 210]; H: 61.13104248046875
SENSE daac 41 25-04-2019 13:17:50.799 T: 30.6383991241455 [C]; A:[0, 8, 236]; H: 59.6280517578125
SENSE daaa 77 25-04-2019 13:17:53.854 T: 29.07839965820312 [C]; A:[98, 0, 212]; H: 61.13104248046875
SENSE daaa 78 25-04-2019 13:17:54.132 T: 29.07839965820312 [C]; A:[102, 0, 208]; H: 61.1539306640625
