SENSE daaa 1 25-04-2019 02:51:10.757 T: 27.39359855651855 [C]; A:[-12, -14, 216]; H: 77.56475830078125
SENSE daab 1 25-04-2019 02:51:10.755 T: 30.20159912109375 [C]; A:[-8, 50, 234]; H: 67.9898681640625
SENSE daaa 2 25-04-2019 02:51:10.977 T: 27.3311996459961 [C]; A:[-26, -10, 212]; H: 77.53424072265625
SENSE daaa 3 25-04-2019 02:51:11.189 T: 27.3311996459961 [C]; A:[-20, -10, 220]; H: 77.50372314453125
SENSE daab 2 25-04-2019 02:51:11.193 T: 30.20159912109375 [C]; A:[-10, 54, 230]; H: 68.04327392578125
SENSE daaa 4 25-04-2019 02:51:11.417 T: 27.3311996459961 [C]; A:[-18, -12, 224]; H: 77.50372314453125
SENSE daaa 5 25-04-2019 02:51:11.635 T: 27.39359855651855 [C]; A:[-20, -10, 224]; H: 77.5113525390625
SENSE daab 3 25-04-2019 02:51:11.626 T: 30.20159912109375 [C]; A:[-6, 52, 232]; H: 68.07379150390625
SENSE daaa 6 25-04-2019 02:51:11.849 T: 27.39359855651855 [C]; A:[-26, -8, 224]; H: 77.5113525390625
SENSE daab 4 25-04-2019 02:51:12.059 T: 30.20159912109375 [C]; A:[-4, 52, 234]; H: 68.07379150390625
SENSE daaa 8 25-04-2019 02:51:12.261 T: 27.39359855651855 [C]; A:[-24, -8, 228]; H: 77.47320556640625
SENSE daab 5 25-04-2019 02:51:12.565 T: 30.26399993896484 [C]; A:[-4, 52, 234]; H: 68.04327392578125
SENSE daaa 10 25-04-2019 02:51:12.668 T: 27.39359855651855 [C]; A:[-22, -12, 216]; H: 77.44268798828125
SENSE daaa 11 25-04-2019 02:51:12.882 T: 27.39359855651855 [C]; A:[-26, -12, 222]; H: 77.43505859375
SENSE daaa 12 25-04-2019 02:51:13.095 T: 27.39359855651855 [C]; A:[-22, -10, 224]; H: 77.44268798828125
SENSE daac 3 25-04-2019 02:51:11.836 T: 27.6431999206543 [C]; A:[2, -34, 244]; H: 71.1942138671875
SENSE daaa 14 25-04-2019 02:51:13.508 T: 27.39359855651855 [C]; A:[-26, -12, 220]; H: 77.44268798828125
SENSE daab 7 25-04-2019 02:51:13.502 T: 30.20159912109375 [C]; A:[-12, 54, 232]; H: 67.9898681640625
SENSE daac 4 25-04-2019 02:51:12.267 T: 27.6431999206543 [C]; A:[8, -42, 248]; H: 71.1636962890625
SENSE daaa 16 25-04-2019 02:51:13.899 T: 27.39359855651855 [C]; A:[-26, -8, 224]; H: 77.3740234375
