SENSE daaa 26 25-04-2019 06:01:00.301 T: 27.6431999206543 [C]; A:[4, -40, 242]; H: 67.50921630859375
SENSE daad 8 25-04-2019 06:01:00.487 T: 27.45599937438964 [C]; A:[152, -6, 172]; H: 73.4677734375
SENSE daaa 27 25-04-2019 06:01:00.660 T: 27.6431999206543 [C]; A:[8, -40, 248]; H: 67.50921630859375
SENSE daaa 28 25-04-2019 06:01:01.052 T: 27.6431999206543 [C]; A:[4, -40, 246]; H: 67.5321044921875
SENSE daad 9 25-04-2019 06:01:00.924 T: 27.45599937438964 [C]; A:[154, -4, 180]; H: 73.4677734375
SENSE daaa 29 25-04-2019 06:01:01.396 T: 27.6431999206543 [C]; A:[12, -44, 244]; H: 67.5321044921875
SENSE daac 7 25-04-2019 06:01:01.351 T: 30.45119857788085 [C]; A:[0, 0, 230]; H: 62.90869140625
SENSE daaa 30 25-04-2019 06:01:01.729 T: 27.6431999206543 [C]; A:[2, -40, 248]; H: 67.5626220703125
SENSE daad 10 25-04-2019 06:01:01.559 T: 27.45599937438964 [C]; A:[154, -6, 170]; H: 73.50592041015625
SENSE daac 8 25-04-2019 06:01:01.764 T: 30.45119857788085 [C]; A:[0, 0, 234]; H: 62.90869140625
SENSE daaa 31 25-04-2019 06:01:02.063 T: 27.6431999206543 [C]; A:[4, -36, 244]; H: 67.5626220703125
SENSE daab 14 25-04-2019 06:01:02.406 T: 27.70559883117675 [C]; A:[-18, -6, 230]; H: 67.69232177734375
SENSE daaa 32 25-04-2019 06:01:02.496 T: 27.6431999206543 [C]; A:[8, -40, 246]; H: 67.5626220703125
SENSE daad 11 25-04-2019 06:01:02.185 T: 27.45599937438964 [C]; A:[154, -8, 170]; H: 73.50592041015625
SENSE daaa 33 25-04-2019 06:01:02.934 T: 27.6431999206543 [C]; A:[0, -34, 248]; H: 67.61602783203125
SENSE daab 15 25-04-2019 06:01:02.865 T: 27.70559883117675 [C]; A:[-16, -6, 226]; H: 67.69232177734375
SENSE daaa 34 25-04-2019 06:01:03.267 T: 27.6431999206543 [C]; A:[10, -36, 250]; H: 67.61602783203125
SENSE daab 16 25-04-2019 06:01:03.360 T: 27.6431999206543 [C]; A:[-18, -10, 228]; H: 67.69232177734375
SENSE daad 12 25-04-2019 06:01:03.277 T: 27.45599937438964 [C]; A:[152, -8, 176]; H: 73.4677734375
SENSE daaa 35 25-04-2019 06:01:03.600 T: 27.6431999206543 [C]; A:[8, -36, 242]; H: 67.61602783203125
SENSE daab 17 25-04-2019 06:01:03.793 T: 27.70559883117675 [C]; A:[-16, -6, 236]; H: 67.69232177734375
SENSE daaa 36 25-04-2019 06:01:04.004 T: 27.6431999206543 [C]; A:[8, -44, 242]; H: 67.61602783203125
SENSE daaa 37 25-04-2019 06:01:04.347 T: 27.6431999206543 [C]; A:[4, -38, 242]; H: 67.61602783203125
SENSE daab 18 25-04-2019 06:01:04.277 T: 27.70559883117675 [C]; A:[-16, 0, 228]; H: 67.69232177734375
SENSE daad 13 25-04-2019 06:01:04.205 T: 27.45599937438964 [C]; A:[148, -6, 180]; H: 73.40673828125
SENSE daaa 38 25-04-2019 06:01:04.681 T: 27.6431999206543 [C]; A:[6, -38, 240]; H: 67.61602783203125
SENSE daab 19 25-04-2019 06:01:04.739 T: 27.6431999206543 [C]; A:[-20, 0, 228]; H: 67.72283935546875
SENSE daaa 39 25-04-2019 06:01:05.054 T: 27.6431999206543 [C]; A:[8, -38, 244]; H: 67.61602783203125
SENSE daab 20 25-04-2019 06:01:05.251 T: 27.70559883117675 [C]; A:[-20, -8, 228]; H: 67.72283935546875
SENSE daaa 40 25-04-2019 06:01:05.423 T: 27.6431999206543 [C]; A:[0, -40, 256]; H: 67.61602783203125
SENSE daad 14 25-04-2019 06:01:05.168 T: 27.45599937438964 [C]; A:[150, -8, 172]; H: 73.27703857421875
SENSE daaa 41 25-04-2019 06:01:05.756 T: 27.6431999206543 [C]; A:[2, -40, 240]; H: 67.64654541015625
SENSE daab 21 25-04-2019 06:01:05.685 T: 27.70559883117675 [C]; A:[-16, -4, 230]; H: 67.75335693359375
SENSE daaa 42 25-04-2019 06:01:06.089 T: 27.6431999206543 [C]; A:[8, -40, 242]; H: 67.64654541015625
SENSE daab 22 25-04-2019 06:01:06.181 T: 27.6431999206543 [C]; A:[-18, 0, 228]; H: 67.75335693359375
SENSE daad 15 25-04-2019 06:01:06.101 T: 27.45599937438964 [C]; A:[152, -4, 170]; H: 73.1473388671875
SENSE daaa 43 25-04-2019 06:01:06.423 T: 27.6431999206543 [C]; A:[4, -32, 246]; H: 67.64654541015625
SENSE daab 23 25-04-2019 06:01:06.624 T: 27.70559883117675 [C]; A:[-20, -8, 232]; H: 67.75335693359375
SENSE daaa 44 25-04-2019 06:01:06.836 T: 27.5807991027832 [C]; A:[0, -36, 242]; H: 67.64654541015625
