SENSE daaa 22 26-04-2019 03:12:32.781 T: 28.64159965515136 [C]; A:[78, 48, 230]; H: 71.69775390625
SENSE daab 22 26-04-2019 03:12:32.851 T: 31.44959831237792 [C]; A:[96, 8, 218]; H: 67.0743408203125
SENSE daac 16 26-04-2019 03:12:32.845 T: 30.57599830627441 [C]; A:[0, -64, 192]; H: 68.89013671875
SENSE daab 23 26-04-2019 03:12:33.254 T: 31.44959831237792 [C]; A:[94, 12, 206]; H: 67.0743408203125
SENSE daac 17 26-04-2019 03:12:33.405 T: 30.51359939575195 [C]; A:[-8, -70, 194]; H: 68.89013671875
SENSE daaa 24 26-04-2019 03:12:33.552 T: 28.64159965515136 [C]; A:[76, 46, 236]; H: 71.69775390625
SENSE daab 24 26-04-2019 03:12:33.652 T: 31.44959831237792 [C]; A:[94, 12, 214]; H: 67.0743408203125
SENSE daac 19 26-04-2019 03:12:34.475 T: 30.51359939575195 [C]; A:[0, -68, 196]; H: 68.91302490234375
SENSE daaa 27 26-04-2019 03:12:34.713 T: 28.64159965515136 [C]; A:[72, 52, 232]; H: 71.69775390625
SENSE daab 27 26-04-2019 03:12:34.756 T: 31.38719940185546 [C]; A:[100, 8, 212]; H: 67.0438232421875
SENSE daac 20 26-04-2019 03:12:35.035 T: 30.51359939575195 [C]; A:[-4, -70, 194]; H: 68.91302490234375
SENSE daab 28 26-04-2019 03:12:35.169 T: 31.44959831237792 [C]; A:[96, 12, 224]; H: 67.0438232421875
SENSE daaa 29 26-04-2019 03:12:35.478 T: 28.64159965515136 [C]; A:[76, 48, 234]; H: 71.69775390625
SENSE daab 29 26-04-2019 03:12:35.572 T: 31.44959831237792 [C]; A:[96, 10, 214]; H: 67.0438232421875
SENSE daac 21 26-04-2019 03:12:35.595 T: 30.57599830627441 [C]; A:[-4, -68, 198]; H: 68.91302490234375
SENSE daab 30 26-04-2019 03:12:35.965 T: 31.44959831237792 [C]; A:[96, 8, 216]; H: 67.0438232421875
SENSE daaa 31 26-04-2019 03:12:36.234 T: 28.70399856567382 [C]; A:[78, 50, 230]; H: 71.69775390625
SENSE daac 22 26-04-2019 03:12:36.156 T: 30.51359939575195 [C]; A:[0, -66, 192]; H: 68.91302490234375
SENSE daab 31 26-04-2019 03:12:36.358 T: 31.44959831237792 [C]; A:[98, 10, 212]; H: 67.0133056640625
SENSE daaa 32 26-04-2019 03:12:36.632 T: 28.64159965515136 [C]; A:[76, 50, 234]; H: 71.69775390625
SENSE daac 23 26-04-2019 03:12:36.716 T: 30.51359939575195 [C]; A:[0, -66, 194]; H: 68.91302490234375
SENSE daaa 33 26-04-2019 03:12:37.036 T: 28.70399856567382 [C]; A:[74, 46, 232]; H: 71.667236328125
SENSE daab 33 26-04-2019 03:12:37.119 T: 31.44959831237792 [C]; A:[96, 14, 224]; H: 67.0133056640625
SENSE daac 24 26-04-2019 03:12:37.281 T: 30.51359939575195 [C]; A:[0, -68, 184]; H: 68.951171875
SENSE daab 34 26-04-2019 03:12:37.517 T: 31.44959831237792 [C]; A:[90, 12, 208]; H: 67.0133056640625
SENSE daac 25 26-04-2019 03:12:37.851 T: 30.51359939575195 [C]; A:[0, -68, 200]; H: 68.91302490234375
SENSE daab 35 26-04-2019 03:12:37.920 T: 31.44959831237792 [C]; A:[98, 10, 218]; H: 67.0133056640625
SENSE daab 36 26-04-2019 03:12:38.328 T: 31.44959831237792 [C]; A:[92, 8, 220]; H: 67.0133056640625
SENSE daac 26 26-04-2019 03:12:38.411 T: 30.51359939575195 [C]; A:[0, -68, 190]; H: 68.91302490234375
SENSE daab 37 26-04-2019 03:12:38.761 T: 31.44959831237792 [C]; A:[96, 10, 218]; H: 66.9827880859375
SENSE daaa 38 26-04-2019 03:12:38.882 T: 28.70399856567382 [C]; A:[80, 50, 232]; H: 71.667236328125
SENSE daab 38 26-04-2019 03:12:39.169 T: 31.44959831237792 [C]; A:[94, 6, 210]; H: 66.9827880859375
SENSE daaa 39 26-04-2019 03:12:39.280 T: 28.70399856567382 [C]; A:[72, 56, 228]; H: 71.667236328125
SENSE daab 39 26-04-2019 03:12:39.567 T: 31.44959831237792 [C]; A:[98, 8, 218]; H: 66.9827880859375
SENSE daab 39 26-04-2019 03:12:39.567 T: 31.44959831237792 [C]; A:[98, 8, 218]; H: 66.9827880859375
SENSE daac 28 26-04-2019 03:12:39.507 T: 30.51359939575195 [C]; A:[-4, -64, 196]; H: 68.951171875
SENSE daaa 40 26-04-2019 03:12:39.683 T: 28.64159965515136 [C]; A:[74, 48, 230]; H: 71.667236328125
SENSE daab 40 26-04-2019 03:12:39.975 T: 31.44959831237792 [C]; A:[94, 10, 216]; H: 66.9522705078125
SENSE daac 29 26-04-2019 03:12:40.087 T: 30.51359939575195 [C]; A:[0, -64, 196]; H: 68.91302490234375
SENSE daaa 43 26-04-2019 03:12:40.812 T: 28.64159965515136 [C]; A:[78, 46, 230]; H: 71.667236328125
SENSE daaa 43 26-04-2019 03:12:40.812 T: 28.64159965515136 [C]; A:[78, 46, 230]; H: 71.667236328125
SENSE daab 42 26-04-2019 03:12:40.781 T: 31.44959831237792 [C]; A:[92, 10, 210]; H: 66.9522705078125
SENSE daaa 44 26-04-2019 03:12:41.220 T: 28.70399856567382 [C]; A:[74, 44, 232]; H: 71.667236328125
SENSE daab 43 26-04-2019 03:12:41.179 T: 31.44959831237792 [C]; A:[94, 10, 214]; H: 66.9522705078125
SENSE daac 31 26-04-2019 03:12:41.182 T: 30.51359939575195 [C]; A:[0, -68, 192]; H: 68.91302490234375
SENSE daaa 45 26-04-2019 03:12:41.624 T: 28.70399856567382 [C]; A:[74, 48, 236]; H: 71.667236328125
SENSE daab 44 26-04-2019 03:12:41.577 T: 31.44959831237792 [C]; A:[90, 8, 214]; H: 66.9522705078125
SENSE daac 32 26-04-2019 03:12:41.742 T: 30.51359939575195 [C]; A:[0, -68, 192]; H: 68.91302490234375
SENSE daaa 46 26-04-2019 03:12:42.027 T: 28.64159965515136 [C]; A:[78, 48, 236]; H: 71.667236328125
SENSE daab 46 26-04-2019 03:12:42.363 T: 31.44959831237792 [C]; A:[98, 16, 218]; H: 66.9522705078125
SENSE daac 33 26-04-2019 03:12:42.307 T: 30.51359939575195 [C]; A:[0, -68, 192]; H: 68.91302490234375
SENSE daaa 47 26-04-2019 03:12:42.430 T: 28.70399856567382 [C]; A:[76, 54, 238]; H: 71.667236328125
SENSE daaa 48 26-04-2019 03:12:42.893 T: 28.70399856567382 [C]; A:[78, 48, 234]; H: 71.667236328125
SENSE daac 34 26-04-2019 03:12:42.847 T: 30.51359939575195 [C]; A:[0, -74, 198]; H: 68.91302490234375
SENSE daac 35 26-04-2019 03:12:43.418 T: 30.51359939575195 [C]; A:[0, -68, 194]; H: 68.91302490234375
SENSE daab 49 26-04-2019 03:12:43.492 T: 31.44959831237792 [C]; A:[94, 8, 214]; H: 66.9522705078125
SENSE daaa 50 26-04-2019 03:12:43.654 T: 28.70399856567382 [C]; A:[76, 50, 234]; H: 71.667236328125
SENSE daab 50 26-04-2019 03:12:43.890 T: 31.44959831237792 [C]; A:[98, 12, 214]; H: 66.9522705078125
SENSE daaa 51 26-04-2019 03:12:44.057 T: 28.70399856567382 [C]; A:[78, 50, 232]; H: 71.667236328125
SENSE daac 36 26-04-2019 03:12:43.978 T: 30.51359939575195 [C]; A:[0, -68, 190]; H: 68.91302490234375
SENSE daab 51 26-04-2019 03:12:44.323 T: 31.44959831237792 [C]; A:[98, 8, 210]; H: 66.9522705078125
SENSE daaa 52 26-04-2019 03:12:44.455 T: 28.70399856567382 [C]; A:[74, 50, 228]; H: 71.667236328125
SENSE daac 37 26-04-2019 03:12:44.548 T: 30.51359939575195 [C]; A:[0, -70, 198]; H: 68.91302490234375
SENSE daab 52 26-04-2019 03:12:44.721 T: 31.44959831237792 [C]; A:[96, 10, 214]; H: 66.9522705078125
SENSE daaa 53 26-04-2019 03:12:44.853 T: 28.70399856567382 [C]; A:[78, 52, 234]; H: 71.667236328125
SENSE daab 53 26-04-2019 03:12:45.119 T: 31.44959831237792 [C]; A:[94, 12, 214]; H: 66.9827880859375
SENSE daac 38 26-04-2019 03:12:45.108 T: 30.51359939575195 [C]; A:[0, -70, 194]; H: 68.91302490234375
SENSE daaa 54 26-04-2019 03:12:45.256 T: 28.70399856567382 [C]; A:[78, 48, 232]; H: 71.667236328125
SENSE daaa 55 26-04-2019 03:12:45.654 T: 28.70399856567382 [C]; A:[78, 50, 228]; H: 71.667236328125
SENSE daab 55 26-04-2019 03:12:45.890 T: 31.44959831237792 [C]; A:[94, 12, 216]; H: 66.9827880859375
SENSE daaa 56 26-04-2019 03:12:46.052 T: 28.70399856567382 [C]; A:[76, 52, 236]; H: 71.667236328125
SENSE daac 40 26-04-2019 03:12:46.198 T: 30.51359939575195 [C]; A:[0, -66, 192]; H: 68.91302490234375
SENSE daaa 57 26-04-2019 03:12:46.450 T: 28.64159965515136 [C]; A:[72, 54, 232]; H: 71.667236328125
SENSE daaa 58 26-04-2019 03:12:46.854 T: 28.70399856567382 [C]; A:[76, 48, 230]; H: 71.667236328125
