SENSE daad 13 22-04-2019 12:40:49.732 T: 26.20800018310546 [C]; A:[0, 62, 190]; H: 67.455810546875
SENSE daaa 14 22-04-2019 12:40:50.073 T: 26.39519882202148 [C]; A:[-10, -4, 230]; H: 64.5718994140625
SENSE daab 14 22-04-2019 12:40:50.078 T: 26.58239936828613 [C]; A:[38, -30, 240]; H: 62.4967041015625
SENSE daac 14 22-04-2019 12:40:50.072 T: 26.58239936828613 [C]; A:[-2, 2, 236]; H: 65.37298583984375
SENSE daad 14 22-04-2019 12:40:50.068 T: 26.20800018310546 [C]; A:[0, 56, 192]; H: 67.43292236328125
SENSE daaa 15 22-04-2019 12:40:50.410 T: 26.39519882202148 [C]; A:[-4, 2, 236]; H: 64.6024169921875
SENSE daab 15 22-04-2019 12:40:50.410 T: 26.58239936828613 [C]; A:[42, -24, 240]; H: 62.4661865234375
SENSE daac 15 22-04-2019 12:40:50.410 T: 26.58239936828613 [C]; A:[0, 10, 230]; H: 65.34246826171875
SENSE daad 15 22-04-2019 12:40:50.406 T: 26.20800018310546 [C]; A:[0, 64, 198]; H: 67.40240478515625
SENSE daaa 16 22-04-2019 12:40:50.744 T: 26.39519882202148 [C]; A:[-4, 2, 228]; H: 64.6024169921875
SENSE daab 16 22-04-2019 12:40:50.745 T: 26.58239936828613 [C]; A:[40, -32, 246]; H: 62.4661865234375
SENSE daac 16 22-04-2019 12:40:50.744 T: 26.58239936828613 [C]; A:[-4, 6, 220]; H: 65.37298583984375
SENSE daad 16 22-04-2019 12:40:50.740 T: 26.08319854736328 [C]; A:[0, 60, 200]; H: 67.40240478515625
SENSE daaa 17 22-04-2019 12:40:51.079 T: 26.39519882202148 [C]; A:[0, 0, 228]; H: 64.6329345703125
SENSE daab 17 22-04-2019 12:40:51.078 T: 26.58239936828613 [C]; A:[42, -28, 242]; H: 62.4967041015625
SENSE daac 17 22-04-2019 12:40:51.078 T: 26.58239936828613 [C]; A:[0, 8, 232]; H: 65.37298583984375
SENSE daad 17 22-04-2019 12:40:51.072 T: 26.20800018310546 [C]; A:[0, 64, 192]; H: 67.40240478515625
SENSE daaa 18 22-04-2019 12:40:51.411 T: 26.39519882202148 [C]; A:[0, 0, 232]; H: 64.65582275390625
SENSE daab 18 22-04-2019 12:40:51.411 T: 26.58239936828613 [C]; A:[42, -28, 242]; H: 62.4967041015625
SENSE daac 18 22-04-2019 12:40:51.410 T: 26.64480018615722 [C]; A:[0, 8, 240]; H: 65.37298583984375
SENSE daad 18 22-04-2019 12:40:51.406 T: 26.27039909362792 [C]; A:[0, 64, 192]; H: 67.37188720703125
SENSE daaa 19 22-04-2019 12:40:51.745 T: 26.39519882202148 [C]; A:[-8, 0, 232]; H: 64.65582275390625
SENSE daab 19 22-04-2019 12:40:51.746 T: 26.58239936828613 [C]; A:[42, -30, 242]; H: 62.51959228515625
SENSE daac 19 22-04-2019 12:40:51.745 T: 26.58239936828613 [C]; A:[4, 4, 228]; H: 65.40350341796875
SENSE daad 19 22-04-2019 12:40:51.741 T: 26.20800018310546 [C]; A:[0, 64, 198]; H: 67.3489990234375
SENSE daaa 20 22-04-2019 12:40:52.080 T: 26.39519882202148 [C]; A:[-4, 0, 230]; H: 64.65582275390625
SENSE daab 20 22-04-2019 12:40:52.080 T: 26.58239936828613 [C]; A:[38, -26, 242]; H: 62.51959228515625
SENSE daac 20 22-04-2019 12:40:52.080 T: 26.58239936828613 [C]; A:[0, 8, 240]; H: 65.43402099609375
SENSE daad 20 22-04-2019 12:40:52.074 T: 26.20800018310546 [C]; A:[0, 62, 192]; H: 67.3184814453125
SENSE daaa 21 22-04-2019 12:40:52.413 T: 26.39519882202148 [C]; A:[-6, 0, 238]; H: 64.65582275390625
SENSE daab 21 22-04-2019 12:40:52.412 T: 26.51999855041503 [C]; A:[38, -26, 242]; H: 62.51959228515625
SENSE daac 21 22-04-2019 12:40:52.411 T: 26.58239936828613 [C]; A:[0, -4, 230]; H: 65.43402099609375
SENSE daad 21 22-04-2019 12:40:52.408 T: 26.14559936523437 [C]; A:[-8, 44, 188]; H: 67.26507568359375
SENSE daaa 22 22-04-2019 12:40:52.748 T: 26.39519882202148 [C]; A:[0, 0, 234]; H: 64.6329345703125
SENSE daab 22 22-04-2019 12:40:52.747 T: 26.58239936828613 [C]; A:[34, -28, 242]; H: 62.51959228515625
SENSE daac 22 22-04-2019 12:40:52.747 T: 26.64480018615722 [C]; A:[2, 6, 238]; H: 65.43402099609375
SENSE daad 22 22-04-2019 12:40:52.743 T: 26.14559936523437 [C]; A:[0, 60, 198]; H: 67.20404052734375
SENSE daaa 23 22-04-2019 12:40:53.083 T: 26.39519882202148 [C]; A:[0, 0, 230]; H: 64.6329345703125
SENSE daab 23 22-04-2019 12:40:53.082 T: 26.58239936828613 [C]; A:[44, -32, 244]; H: 62.51959228515625
