SENSE daad 13 19-04-2019 07:09:33.135 T: 26.83199882507324 [C]; A:[24, -8, 232]; H: 81.890625
SENSE daab 14 19-04-2019 07:09:33.374 T: 29.07839965820312 [C]; A:[14, -28, 248]; H: 72.5064697265625
SENSE daaa 14 19-04-2019 07:09:33.429 T: 28.64159965515136 [C]; A:[16, -70, 212]; H: 76.49664306640625
SENSE daac 14 19-04-2019 07:09:33.371 T: 26.20800018310546 [C]; A:[-34, 98, 186]; H: 84.6219482421875
SENSE daad 14 19-04-2019 07:09:33.369 T: 26.83199882507324 [C]; A:[20, -4, 222]; H: 81.890625
SENSE daaa 15 19-04-2019 07:09:33.677 T: 28.64159965515136 [C]; A:[14, -70, 216]; H: 76.49664306640625
SENSE daac 15 19-04-2019 07:09:33.612 T: 26.20800018310546 [C]; A:[-36, 106, 182]; H: 84.6219482421875
SENSE daad 15 19-04-2019 07:09:33.602 T: 26.83199882507324 [C]; A:[24, 0, 236]; H: 81.860107421875
SENSE daab 16 19-04-2019 07:09:33.862 T: 29.14079856872558 [C]; A:[14, -28, 246]; H: 72.5064697265625
SENSE daaa 16 19-04-2019 07:09:33.920 T: 28.57919883728027 [C]; A:[14, -64, 218]; H: 76.49664306640625
SENSE daac 16 19-04-2019 07:09:33.856 T: 26.20800018310546 [C]; A:[-38, 102, 178]; H: 84.6219482421875
SENSE daad 16 19-04-2019 07:09:33.852 T: 26.83199882507324 [C]; A:[26, -6, 228]; H: 81.890625
SENSE daab 17 19-04-2019 07:09:34.095 T: 29.07839965820312 [C]; A:[20, -26, 242]; H: 72.5064697265625
SENSE daaa 17 19-04-2019 07:09:34.169 T: 28.57919883728027 [C]; A:[16, -68, 222]; H: 76.49664306640625
SENSE daac 17 19-04-2019 07:09:34.096 T: 26.20800018310546 [C]; A:[-30, 100, 184]; H: 84.6219482421875
SENSE daad 17 19-04-2019 07:09:34.090 T: 26.89439964294433 [C]; A:[22, -8, 234]; H: 81.860107421875
SENSE daab 18 19-04-2019 07:09:34.334 T: 29.07839965820312 [C]; A:[12, -26, 250]; H: 72.5064697265625
SENSE daaa 18 19-04-2019 07:09:34.412 T: 28.64159965515136 [C]; A:[14, -72, 216]; H: 76.49664306640625
SENSE daac 18 19-04-2019 07:09:34.331 T: 26.20800018310546 [C]; A:[-34, 100, 184]; H: 84.6219482421875
SENSE daad 18 19-04-2019 07:09:34.329 T: 26.83199882507324 [C]; A:[22, -6, 230]; H: 81.860107421875
SENSE daab 19 19-04-2019 07:09:34.568 T: 29.07839965820312 [C]; A:[14, -30, 246]; H: 72.4759521484375
SENSE daaa 19 19-04-2019 07:09:34.650 T: 28.57919883728027 [C]; A:[18, -72, 214]; H: 76.49664306640625
SENSE daac 19 19-04-2019 07:09:34.571 T: 26.20800018310546 [C]; A:[-34, 100, 186]; H: 84.6219482421875
SENSE daad 19 19-04-2019 07:09:34.568 T: 26.89439964294433 [C]; A:[22, -6, 236]; H: 81.860107421875
SENSE daab 20 19-04-2019 07:09:34.802 T: 29.07839965820312 [C]; A:[8, -30, 252]; H: 72.4759521484375
SENSE daaa 20 19-04-2019 07:09:34.894 T: 28.64159965515136 [C]; A:[12, -66, 222]; H: 76.49664306640625
SENSE daac 20 19-04-2019 07:09:34.811 T: 26.20800018310546 [C]; A:[-34, 102, 186]; H: 84.6219482421875
SENSE daad 20 19-04-2019 07:09:34.812 T: 26.89439964294433 [C]; A:[22, -4, 226]; H: 81.860107421875
SENSE daab 21 19-04-2019 07:09:35.041 T: 29.07839965820312 [C]; A:[16, -28, 244]; H: 72.4759521484375
SENSE daaa 21 19-04-2019 07:09:35.142 T: 28.64159965515136 [C]; A:[14, -72, 214]; H: 76.49664306640625
SENSE daac 21 19-04-2019 07:09:35.046 T: 26.27039909362792 [C]; A:[-30, 100, 186]; H: 84.6219482421875
SENSE daad 21 19-04-2019 07:09:35.051 T: 26.89439964294433 [C]; A:[24, -6, 232]; H: 81.83721923828125
SENSE daab 22 19-04-2019 07:09:35.285 T: 29.07839965820312 [C]; A:[12, -28, 248]; H: 72.4759521484375
SENSE daaa 22 19-04-2019 07:09:35.380 T: 28.64159965515136 [C]; A:[16, -72, 216]; H: 76.49664306640625
