SENSE daaa 1 19-04-2019 07:02:17.492 T: 26.9567985534668 [C]; A:[0, 0, 0]; H: 81.982177734375
SENSE daab 1 19-04-2019 07:02:17.490 T: 27.3311996459961 [C]; A:[0, 0, 0]; H: 77.90045166015625
SENSE daac 1 19-04-2019 07:02:17.482 T: 26.58239936828613 [C]; A:[0, 0, 0]; H: 83.59197998046875
SENSE daaa 2 19-04-2019 07:02:17.731 T: 26.89439964294433 [C]; A:[16, -70, 216]; H: 81.95166015625
SENSE daab 2 19-04-2019 07:02:17.727 T: 27.3311996459961 [C]; A:[14, -32, 256]; H: 77.90045166015625
SENSE daac 2 19-04-2019 07:02:17.737 T: 26.64480018615722 [C]; A:[-40, 112, 174]; H: 83.59197998046875
SENSE daad 2 19-04-2019 07:02:17.729 T: 27.8927993774414 [C]; A:[28, -6, 232]; H: 78.70916748046875
SENSE daaa 3 19-04-2019 07:02:17.964 T: 26.89439964294433 [C]; A:[14, -64, 222]; H: 81.95166015625
SENSE daab 3 19-04-2019 07:02:17.966 T: 27.3311996459961 [C]; A:[14, -28, 246]; H: 77.83941650390625
SENSE daac 3 19-04-2019 07:02:17.977 T: 26.58239936828613 [C]; A:[-34, 110, 178]; H: 83.59197998046875
SENSE daad 3 19-04-2019 07:02:17.968 T: 27.83039855957031 [C]; A:[26, -6, 256]; H: 78.70916748046875
SENSE daaa 4 19-04-2019 07:02:18.203 T: 26.89439964294433 [C]; A:[14, -68, 202]; H: 81.95166015625
SENSE daab 4 19-04-2019 07:02:18.200 T: 27.3311996459961 [C]; A:[16, -30, 242]; H: 77.83941650390625
SENSE daac 4 19-04-2019 07:02:18.212 T: 26.64480018615722 [C]; A:[-34, 108, 176]; H: 83.59197998046875
SENSE daad 4 19-04-2019 07:02:18.206 T: 27.8927993774414 [C]; A:[26, -6, 232]; H: 78.70916748046875
SENSE daaa 5 19-04-2019 07:02:18.446 T: 26.9567985534668 [C]; A:[12, -70, 220]; H: 81.95166015625
SENSE daab 5 19-04-2019 07:02:18.439 T: 27.3311996459961 [C]; A:[18, -32, 248]; H: 77.83941650390625
SENSE daac 5 19-04-2019 07:02:18.452 T: 26.58239936828613 [C]; A:[-40, 110, 176]; H: 83.59197998046875
SENSE daad 5 19-04-2019 07:02:18.445 T: 27.83039855957031 [C]; A:[30, -6, 236]; H: 78.70916748046875
SENSE daaa 6 19-04-2019 07:02:18.679 T: 26.89439964294433 [C]; A:[18, -68, 222]; H: 81.921142578125
SENSE daab 6 19-04-2019 07:02:18.673 T: 27.3311996459961 [C]; A:[14, -26, 246]; H: 77.83941650390625
SENSE daac 6 19-04-2019 07:02:18.687 T: 26.64480018615722 [C]; A:[-40, 110, 178]; H: 83.59197998046875
SENSE daad 6 19-04-2019 07:02:18.679 T: 27.8927993774414 [C]; A:[24, 0, 238]; H: 78.686279296875
SENSE daaa 7 19-04-2019 07:02:18.923 T: 26.9567985534668 [C]; A:[12, -66, 214]; H: 81.921142578125
SENSE daab 7 19-04-2019 07:02:18.912 T: 27.3311996459961 [C]; A:[12, -30, 246]; H: 77.83941650390625
SENSE daac 7 19-04-2019 07:02:18.922 T: 26.64480018615722 [C]; A:[-34, 106, 180]; H: 83.56146240234375
SENSE daad 7 19-04-2019 07:02:18.913 T: 27.8927993774414 [C]; A:[26, 0, 222]; H: 78.686279296875
SENSE daaa 8 19-04-2019 07:02:19.176 T: 26.9567985534668 [C]; A:[12, -68, 218]; H: 81.921142578125
SENSE daab 8 19-04-2019 07:02:19.166 T: 27.268798828125 [C]; A:[8, -26, 248]; H: 77.8165283203125
SENSE daac 8 19-04-2019 07:02:19.173 T: 26.58239936828613 [C]; A:[-36, 108, 180]; H: 83.56146240234375
SENSE daad 8 19-04-2019 07:02:19.167 T: 27.8927993774414 [C]; A:[24, -4, 234]; H: 78.686279296875
SENSE daaa 9 19-04-2019 07:02:19.409 T: 26.9567985534668 [C]; A:[18, -66, 222]; H: 81.921142578125
SENSE daab 9 19-04-2019 07:02:19.405 T: 27.3311996459961 [C]; A:[12, -30, 246]; H: 77.8165283203125
