SENSE daaa 1 19-04-2019 07:18:16.306 T: 27.8927993774414 [C]; A:[0, 0, 0]; H: 78.9151611328125
SENSE daab 1 19-04-2019 07:18:16.301 T: 28.07999992370605 [C]; A:[0, 0, 0]; H: 75.62689208984375
SENSE daac 1 19-04-2019 07:18:16.298 T: 26.20800018310546 [C]; A:[0, 0, 0]; H: 84.9271240234375
SENSE daad 1 19-04-2019 07:18:16.297 T: 27.20639991760253 [C]; A:[0, 0, 0]; H: 81.01324462890625
SENSE daaa 2 19-04-2019 07:18:16.556 T: 27.8927993774414 [C]; A:[10, -68, 216]; H: 78.9151611328125
SENSE daab 2 19-04-2019 07:18:16.541 T: 28.14239883422851 [C]; A:[14, -36, 246]; H: 75.62689208984375
SENSE daac 2 19-04-2019 07:18:16.537 T: 26.27039909362792 [C]; A:[-36, 88, 192]; H: 84.8966064453125
SENSE daad 2 19-04-2019 07:18:16.538 T: 27.20639991760253 [C]; A:[24, 0, 234]; H: 81.01324462890625
SENSE daaa 3 19-04-2019 07:18:16.789 T: 27.8927993774414 [C]; A:[14, -66, 220]; H: 78.9151611328125
SENSE daab 3 19-04-2019 07:18:16.780 T: 28.14239883422851 [C]; A:[16, -32, 246]; H: 75.62689208984375
SENSE daac 3 19-04-2019 07:18:16.771 T: 26.20800018310546 [C]; A:[-36, 88, 184]; H: 84.8966064453125
SENSE daad 3 19-04-2019 07:18:16.776 T: 27.20639991760253 [C]; A:[28, 0, 234]; H: 81.01324462890625
SENSE daaa 4 19-04-2019 07:18:17.027 T: 27.8927993774414 [C]; A:[12, -66, 226]; H: 78.9151611328125
SENSE daab 4 19-04-2019 07:18:17.019 T: 28.07999992370605 [C]; A:[18, -28, 246]; H: 75.62689208984375
SENSE daac 4 19-04-2019 07:18:17.006 T: 26.20800018310546 [C]; A:[-34, 86, 192]; H: 84.8966064453125
SENSE daad 4 19-04-2019 07:18:17.010 T: 27.20639991760253 [C]; A:[30, -4, 232]; H: 81.01324462890625
SENSE daaa 5 19-04-2019 07:18:17.266 T: 27.8927993774414 [C]; A:[14, -70, 216]; H: 78.9151611328125
SENSE daab 5 19-04-2019 07:18:17.258 T: 28.14239883422851 [C]; A:[18, -36, 244]; H: 75.62689208984375
SENSE daac 5 19-04-2019 07:18:17.241 T: 26.27039909362792 [C]; A:[-34, 92, 186]; H: 84.8966064453125
SENSE daad 5 19-04-2019 07:18:17.244 T: 27.20639991760253 [C]; A:[30, 0, 230]; H: 81.01324462890625
SENSE daaa 6 19-04-2019 07:18:17.504 T: 27.8927993774414 [C]; A:[12, -68, 214]; H: 78.9151611328125
SENSE daab 6 19-04-2019 07:18:17.497 T: 28.14239883422851 [C]; A:[20, -32, 246]; H: 75.62689208984375
SENSE daac 6 19-04-2019 07:18:17.481 T: 26.27039909362792 [C]; A:[-34, 88, 186]; H: 84.8966064453125
SENSE daad 6 19-04-2019 07:18:17.483 T: 27.20639991760253 [C]; A:[28, 0, 238]; H: 81.01324462890625
SENSE daaa 7 19-04-2019 07:18:17.742 T: 27.8927993774414 [C]; A:[12, -64, 216]; H: 78.9151611328125
SENSE daab 7 19-04-2019 07:18:17.735 T: 28.14239883422851 [C]; A:[12, -30, 242]; H: 75.67266845703125
SENSE daac 7 19-04-2019 07:18:17.716 T: 26.27039909362792 [C]; A:[-30, 86, 188]; H: 84.8966064453125
SENSE daad 7 19-04-2019 07:18:17.722 T: 27.20639991760253 [C]; A:[30, -4, 232]; H: 81.01324462890625
SENSE daaa 8 19-04-2019 07:18:17.998 T: 27.9552001953125 [C]; A:[14, -68, 222]; H: 78.9151611328125
SENSE daab 8 19-04-2019 07:18:17.985 T: 28.14239883422851 [C]; A:[14, -32, 248]; H: 75.64215087890625
SENSE daac 8 19-04-2019 07:18:17.967 T: 26.27039909362792 [C]; A:[-32, 88, 182]; H: 84.8966064453125
SENSE daad 8 19-04-2019 07:18:17.971 T: 27.20639991760253 [C]; A:[24, 0, 232]; H: 81.01324462890625
SENSE daaa 9 19-04-2019 07:18:18.239 T: 27.8927993774414 [C]; A:[4, -64, 218]; H: 78.9151611328125
SENSE daab 9 19-04-2019 07:18:18.218 T: 28.14239883422851 [C]; A:[12, -32, 252]; H: 75.64215087890625
SENSE daac 9 19-04-2019 07:18:18.201 T: 26.27039909362792 [C]; A:[-32, 86, 178]; H: 84.8966064453125
SENSE daad 9 19-04-2019 07:18:18.204 T: 27.20639991760253 [C]; A:[28, 0, 232]; H: 81.01324462890625
