SENSE daaa 18 19-04-2019 05:55:01.893 T: 25.27199935913085 [C]; A:[-80, -22, 198]; H: 87.353271484375
SENSE daab 18 19-04-2019 05:54:57.239 T: 25.33440017700195 [C]; A:[8, 6, 232]; H: 87.2464599609375
SENSE daad 1 19-04-2019 05:54:47.328 T: 28.82879829406738 [C]; A:[4, -18, 250]; H: 73.0252685546875
SENSE daab 19 19-04-2019 05:55:02.703 T: 25.39679908752441 [C]; A:[6, 8, 240]; H: 87.109130859375
SENSE daad 2 19-04-2019 05:55:02.874 T: 28.89119911193847 [C]; A:[0, -18, 238]; H: 73.0252685546875
SENSE daab 20 19-04-2019 05:55:03.281 T: 25.4591999053955 [C]; A:[0, 6, 238]; H: 87.109130859375
SENSE daad 3 19-04-2019 05:55:03.457 T: 28.89119911193847 [C]; A:[-6, -18, 252]; H: 72.9947509765625
SENSE daab 21 19-04-2019 05:55:03.853 T: 25.4591999053955 [C]; A:[2, 4, 240]; H: 87.109130859375
SENSE daad 4 19-04-2019 05:55:04.029 T: 28.89119911193847 [C]; A:[0, -16, 246]; H: 72.9947509765625
SENSE daab 22 19-04-2019 05:55:04.420 T: 25.39679908752441 [C]; A:[8, 4, 236]; H: 87.1243896484375
SENSE daad 5 19-04-2019 05:55:04.597 T: 28.89119911193847 [C]; A:[0, -16, 244]; H: 72.9947509765625
SENSE daab 23 19-04-2019 05:55:05.007 T: 25.4591999053955 [C]; A:[0, 0, 236]; H: 87.0938720703125
SENSE daad 6 19-04-2019 05:55:05.180 T: 28.89119911193847 [C]; A:[0, -16, 248]; H: 72.9947509765625
SENSE daab 24 19-04-2019 05:55:05.574 T: 25.4591999053955 [C]; A:[4, 0, 234]; H: 87.0938720703125
SENSE daad 7 19-04-2019 05:55:05.741 T: 28.89119911193847 [C]; A:[-6, -18, 252]; H: 72.94134521484375
SENSE daab 25 19-04-2019 05:55:06.142 T: 25.39679908752441 [C]; A:[0, 0, 226]; H: 87.07098388671875
SENSE daad 8 19-04-2019 05:55:06.314 T: 28.89119911193847 [C]; A:[0, -16, 246]; H: 72.94134521484375
SENSE daab 26 19-04-2019 05:55:06.719 T: 25.4591999053955 [C]; A:[2, 8, 234]; H: 87.04046630859375
SENSE daac 18 19-04-2019 05:55:02.067 T: 28.64159965515136 [C]; A:[24, -76, 216]; H: 76.21435546875
SENSE daaa 19 19-04-2019 05:55:02.471 T: 25.27199935913085 [C]; A:[-80, -18, 196]; H: 87.353271484375
SENSE daac 19 19-04-2019 05:55:07.532 T: 28.70399856567382 [C]; A:[26, -70, 208]; H: 76.08465576171875
SENSE daaa 20 19-04-2019 05:55:07.927 T: 25.27199935913085 [C]; A:[-84, -16, 192]; H: 87.23883056640625
SENSE daac 20 19-04-2019 05:55:08.102 T: 28.70399856567382 [C]; A:[24, -72, 212]; H: 76.08465576171875
SENSE daaa 21 19-04-2019 05:55:08.500 T: 25.27199935913085 [C]; A:[-84, -18, 194]; H: 87.23883056640625
SENSE daac 21 19-04-2019 05:55:08.673 T: 28.76639938354492 [C]; A:[24, -78, 214]; H: 76.08465576171875
SENSE daaa 22 19-04-2019 05:55:09.072 T: 25.33440017700195 [C]; A:[-82, -20, 196]; H: 87.2159423828125
SENSE daac 22 19-04-2019 05:55:09.255 T: 28.70399856567382 [C]; A:[28, -74, 216]; H: 76.05413818359375
SENSE daaa 23 19-04-2019 05:55:09.645 T: 25.27199935913085 [C]; A:[-88, -14, 198]; H: 87.2159423828125
SENSE daac 23 19-04-2019 05:55:09.826 T: 28.70399856567382 [C]; A:[22, -70, 220]; H: 76.05413818359375
SENSE daaa 24 19-04-2019 05:55:10.217 T: 25.33440017700195 [C]; A:[-88, -18, 196]; H: 87.1549072265625
SENSE daac 24 19-04-2019 05:55:10.397 T: 28.70399856567382 [C]; A:[24, -74, 210]; H: 76.02362060546875
SENSE daaa 25 19-04-2019 05:55:10.795 T: 25.33440017700195 [C]; A:[-94, -16, 192]; H: 87.1549072265625
SENSE daac 25 19-04-2019 05:55:10.968 T: 28.70399856567382 [C]; A:[24, -74, 220]; H: 76.02362060546875
SENSE daaa 26 19-04-2019 05:55:11.368 T: 25.33440017700195 [C]; A:[-82, -22, 198]; H: 87.1549072265625
SENSE daac 26 19-04-2019 05:55:11.555 T: 28.70399856567382 [C]; A:[22, -72, 212]; H: 76.02362060546875
SENSE daad 9 19-04-2019 05:55:06.891 T: 28.89119911193847 [C]; A:[-8, -14, 250]; H: 72.91082763671875
SENSE daab 27 19-04-2019 05:55:07.297 T: 25.4591999053955 [C]; A:[4, 2, 238]; H: 87.04046630859375
SENSE daad 10 19-04-2019 05:55:12.357 T: 28.89119911193847 [C]; A:[-4, -16, 250]; H: 72.77349853515625
SENSE daab 28 19-04-2019 05:55:12.751 T: 25.52159881591796 [C]; A:[4, 4, 234]; H: 86.87261962890625
SENSE daad 11 19-04-2019 05:55:12.930 T: 28.89119911193847 [C]; A:[0, -20, 246]; H: 72.77349853515625
SENSE daab 29 19-04-2019 05:55:13.328 T: 25.58399963378906 [C]; A:[6, 6, 234]; H: 86.84210205078125
SENSE daad 12 19-04-2019 05:55:13.508 T: 28.89119911193847 [C]; A:[0, -14, 246]; H: 72.77349853515625
SENSE daab 30 19-04-2019 05:55:13.905 T: 25.52159881591796 [C]; A:[2, 4, 232]; H: 86.81158447265625
SENSE daad 13 19-04-2019 05:55:14.074 T: 28.89119911193847 [C]; A:[0, -20, 246]; H: 72.74298095703125
SENSE daab 31 19-04-2019 05:55:14.472 T: 25.52159881591796 [C]; A:[2, 6, 238]; H: 86.81158447265625
SENSE daad 14 19-04-2019 05:55:14.647 T: 28.95359992980957 [C]; A:[-10, -14, 252]; H: 72.74298095703125
SENSE daab 32 19-04-2019 05:55:15.050 T: 25.58399963378906 [C]; A:[6, 4, 234]; H: 86.78106689453125
SENSE daad 15 19-04-2019 05:55:15.234 T: 28.89119911193847 [C]; A:[0, -18, 252]; H: 72.74298095703125
SENSE daab 33 19-04-2019 05:55:15.628 T: 25.58399963378906 [C]; A:[4, 2, 234]; H: 86.7581787109375
SENSE daad 16 19-04-2019 05:55:15.807 T: 28.95359992980957 [C]; A:[0, -16, 248]; H: 72.71246337890625
SENSE daab 34 19-04-2019 05:55:16.204 T: 25.58399963378906 [C]; A:[4, 4, 236]; H: 86.6971435546875
SENSE daad 17 19-04-2019 05:55:16.379 T: 28.95359992980957 [C]; A:[-6, -16, 238]; H: 72.6895751953125
SENSE daaa 27 19-04-2019 05:55:11.950 T: 25.33440017700195 [C]; A:[-84, -22, 198]; H: 87.13201904296875
SENSE daac 27 19-04-2019 05:55:12.125 T: 28.76639938354492 [C]; A:[30, -76, 220]; H: 76.02362060546875
SENSE daaa 28 19-04-2019 05:55:17.415 T: 25.33440017700195 [C]; A:[-84, -24, 192]; H: 87.017578125
SENSE daac 28 19-04-2019 05:55:17.599 T: 28.76639938354492 [C]; A:[22, -74, 216]; H: 75.9244384765625
SENSE daaa 29 19-04-2019 05:55:17.992 T: 25.33440017700195 [C]; A:[-84, -24, 192]; H: 87.017578125
SENSE daac 29 19-04-2019 05:55:18.170 T: 28.70399856567382 [C]; A:[26, -74, 216]; H: 75.9244384765625
SENSE daaa 30 19-04-2019 05:55:18.569 T: 25.33440017700195 [C]; A:[-86, -20, 204]; H: 87.017578125
SENSE daac 30 19-04-2019 05:55:18.751 T: 28.70399856567382 [C]; A:[24, -74, 214]; H: 75.8939208984375
SENSE daaa 31 19-04-2019 05:55:19.162 T: 25.33440017700195 [C]; A:[-80, -28, 202]; H: 87.017578125
SENSE daac 31 19-04-2019 05:55:19.322 T: 28.76639938354492 [C]; A:[28, -74, 220]; H: 75.8634033203125
SENSE daaa 32 19-04-2019 05:55:19.724 T: 25.39679908752441 [C]; A:[-80, -16, 202]; H: 87.017578125
SENSE daac 32 19-04-2019 05:55:19.898 T: 28.76639938354492 [C]; A:[24, -78, 220]; H: 75.8634033203125
SENSE daaa 33 19-04-2019 05:55:20.291 T: 25.33440017700195 [C]; A:[-80, -18, 188]; H: 86.987060546875
SENSE daac 33 19-04-2019 05:55:20.469 T: 28.76639938354492 [C]; A:[26, -74, 212]; H: 75.82525634765625
SENSE daaa 34 19-04-2019 05:55:20.864 T: 25.39679908752441 [C]; A:[-94, -18, 196]; H: 86.987060546875
SENSE daac 34 19-04-2019 05:55:21.050 T: 28.76639938354492 [C]; A:[24, -74, 208]; H: 75.79473876953125
SENSE daaa 35 19-04-2019 05:55:21.446 T: 25.39679908752441 [C]; A:[-88, -22, 192]; H: 86.95654296875
SENSE daab 35 19-04-2019 05:55:16.782 T: 25.52159881591796 [C]; A:[6, 8, 242]; H: 86.6971435546875
SENSE daad 18 19-04-2019 05:55:16.957 T: 28.95359992980957 [C]; A:[-8, -14, 248]; H: 72.6895751953125
SENSE daab 36 19-04-2019 05:55:22.256 T: 25.64639854431152 [C]; A:[14, 4, 232]; H: 86.41485595703125
SENSE daad 19 19-04-2019 05:55:22.432 T: 28.95359992980957 [C]; A:[-8, -16, 248]; H: 72.6285400390625
SENSE daab 37 19-04-2019 05:55:22.828 T: 25.64639854431152 [C]; A:[6, 4, 236]; H: 86.437744140625
SENSE daad 20 19-04-2019 05:55:23.009 T: 28.95359992980957 [C]; A:[0, -14, 254]; H: 72.74298095703125
SENSE daab 38 19-04-2019 05:55:23.411 T: 25.64639854431152 [C]; A:[0, 4, 232]; H: 86.4072265625
SENSE daad 21 19-04-2019 05:55:23.582 T: 28.89119911193847 [C]; A:[0, -20, 244]; H: 72.94134521484375
SENSE daab 39 19-04-2019 05:55:23.989 T: 25.70879936218261 [C]; A:[2, 0, 240]; H: 86.4072265625
SENSE daad 22 19-04-2019 05:55:24.144 T: 28.95359992980957 [C]; A:[-8, -18, 248]; H: 73.0252685546875
SENSE daab 40 19-04-2019 05:55:24.531 T: 25.70879936218261 [C]; A:[4, 2, 238]; H: 86.376708984375
SENSE daad 23 19-04-2019 05:55:24.707 T: 28.95359992980957 [C]; A:[0, -22, 242]; H: 73.0252685546875
SENSE daab 41 19-04-2019 05:55:25.113 T: 25.70879936218261 [C]; A:[2, 4, 228]; H: 86.34619140625
SENSE daad 24 19-04-2019 05:55:25.284 T: 28.95359992980957 [C]; A:[-6, -16, 244]; H: 73.0252685546875
SENSE daab 42 19-04-2019 05:55:25.695 T: 25.70879936218261 [C]; A:[2, 0, 230]; H: 86.34619140625
