SENSE daaa 1 22-04-2019 10:13:36.869 T: 23.8991985321045 [C]; A:[0, 4, 230]; H: 69.37841796875
SENSE daab 1 22-04-2019 10:13:36.868 T: 27.83039855957031 [C]; A:[0, 0, 0]; H: 62.328857421875
SENSE daaa 2 22-04-2019 10:13:37.347 T: 23.8991985321045 [C]; A:[0, 2, 232]; H: 69.37841796875
SENSE daab 2 22-04-2019 10:13:37.570 T: 27.76799964904785 [C]; A:[-8, 18, 236]; H: 62.29833984375
SENSE daaa 3 22-04-2019 10:13:37.918 T: 23.8991985321045 [C]; A:[0, 6, 232]; H: 69.37841796875
SENSE daab 3 22-04-2019 10:13:38.143 T: 27.83039855957031 [C]; A:[-12, 22, 232]; H: 62.27545166015625
SENSE daaa 4 22-04-2019 10:13:38.479 T: 23.8991985321045 [C]; A:[4, 4, 232]; H: 69.37841796875
SENSE daab 4 22-04-2019 10:13:38.715 T: 27.83039855957031 [C]; A:[-8, 18, 232]; H: 62.27545166015625
SENSE daaa 5 22-04-2019 10:13:39.061 T: 23.96159934997558 [C]; A:[0, 4, 230]; H: 69.37841796875
SENSE daab 5 22-04-2019 10:13:39.282 T: 27.83039855957031 [C]; A:[-6, 10, 230]; H: 62.27545166015625
SENSE daaa 6 22-04-2019 10:13:39.622 T: 23.8991985321045 [C]; A:[0, 4, 232]; H: 69.37841796875
SENSE daab 6 22-04-2019 10:13:39.859 T: 27.83039855957031 [C]; A:[-6, 16, 230]; H: 62.24493408203125
SENSE daaa 7 22-04-2019 10:13:40.193 T: 23.8991985321045 [C]; A:[0, 8, 226]; H: 69.408935546875
SENSE daab 7 22-04-2019 10:13:40.446 T: 27.83039855957031 [C]; A:[-8, 14, 238]; H: 62.24493408203125
SENSE daaa 8 22-04-2019 10:13:40.770 T: 23.8991985321045 [C]; A:[0, 0, 224]; H: 69.408935546875
SENSE daab 8 22-04-2019 10:13:40.999 T: 27.83039855957031 [C]; A:[-4, 18, 232]; H: 62.21441650390625
SENSE daaa 9 22-04-2019 10:13:41.335 T: 23.8991985321045 [C]; A:[0, 0, 234]; H: 69.408935546875
SENSE daab 9 22-04-2019 10:13:41.566 T: 27.83039855957031 [C]; A:[-8, 18, 234]; H: 62.21441650390625
SENSE daac 1 22-04-2019 10:13:36.859 T: 24.772798538208 [C]; A:[0, 0, 0]; H: 66.81494140625
SENSE daab 10 22-04-2019 10:13:42.143 T: 27.83039855957031 [C]; A:[-6, 16, 234]; H: 62.21441650390625
SENSE daac 2 22-04-2019 10:13:42.356 T: 24.71039962768554 [C]; A:[0, 14, 246]; H: 66.845458984375
SENSE daab 11 22-04-2019 10:13:42.705 T: 27.8927993774414 [C]; A:[-8, 18, 238]; H: 62.21441650390625
SENSE daac 3 22-04-2019 10:13:42.933 T: 24.71039962768554 [C]; A:[0, 10, 248]; H: 66.845458984375
SENSE daab 12 22-04-2019 10:13:43.283 T: 27.83039855957031 [C]; A:[-6, 14, 240]; H: 62.21441650390625
SENSE daac 4 22-04-2019 10:13:43.510 T: 24.772798538208 [C]; A:[0, 8, 250]; H: 66.845458984375
SENSE daab 13 22-04-2019 10:13:43.855 T: 27.8927993774414 [C]; A:[-6, 20, 228]; H: 62.27545166015625
SENSE daac 5 22-04-2019 10:13:44.078 T: 24.772798538208 [C]; A:[0, 12, 248]; H: 66.8759765625
SENSE daab 14 22-04-2019 10:13:44.423 T: 27.8927993774414 [C]; A:[-10, 16, 234]; H: 62.27545166015625
SENSE daac 6 22-04-2019 10:13:44.645 T: 24.772798538208 [C]; A:[0, 8, 254]; H: 66.8759765625
SENSE daab 15 22-04-2019 10:13:44.999 T: 27.83039855957031 [C]; A:[-10, 18, 234]; H: 62.30596923828125
SENSE daac 7 22-04-2019 10:13:45.233 T: 24.71039962768554 [C]; A:[2, 8, 248]; H: 66.8759765625
SENSE daab 16 22-04-2019 10:13:45.571 T: 27.8927993774414 [C]; A:[-8, 14, 232]; H: 62.30596923828125
SENSE daac 8 22-04-2019 10:13:45.790 T: 24.772798538208 [C]; A:[2, 8, 248]; H: 66.8759765625
SENSE daab 17 22-04-2019 10:13:46.139 T: 27.8927993774414 [C]; A:[-6, 18, 230]; H: 62.30596923828125
SENSE daac 9 22-04-2019 10:13:46.357 T: 24.772798538208 [C]; A:[0, 6, 246]; H: 66.8759765625
SENSE daaa 10 22-04-2019 10:13:41.911 T: 23.8991985321045 [C]; A:[0, 0, 234]; H: 69.408935546875
SENSE daad 1 22-04-2019 10:13:36.861 T: 26.20800018310546 [C]; A:[-10, -4, 202]; H: 66.7081298828125
SENSE daaa 11 22-04-2019 10:13:47.325 T: 23.96159934997558 [C]; A:[0, 2, 228]; H: 69.408935546875
SENSE daad 2 22-04-2019 10:13:47.429 T: 26.27039909362792 [C]; A:[-6, 0, 208]; H: 66.85308837890625
SENSE daaa 12 22-04-2019 10:13:47.901 T: 23.96159934997558 [C]; A:[0, 6, 232]; H: 69.408935546875
SENSE daad 3 22-04-2019 10:13:48.009 T: 26.27039909362792 [C]; A:[-8, 0, 240]; H: 66.85308837890625
SENSE daaa 13 22-04-2019 10:13:48.478 T: 23.96159934997558 [C]; A:[0, 6, 228]; H: 69.439453125
SENSE daad 4 22-04-2019 10:13:48.579 T: 26.27039909362792 [C]; A:[-8, 0, 200]; H: 66.85308837890625
SENSE daaa 14 22-04-2019 10:13:49.049 T: 23.96159934997558 [C]; A:[-2, 4, 238]; H: 69.439453125
SENSE daad 5 22-04-2019 10:13:49.149 T: 26.27039909362792 [C]; A:[-6, 0, 206]; H: 66.85308837890625
SENSE daaa 15 22-04-2019 10:13:49.620 T: 23.96159934997558 [C]; A:[0, 6, 238]; H: 69.439453125
SENSE daad 6 22-04-2019 10:13:49.730 T: 26.27039909362792 [C]; A:[-6, 0, 200]; H: 66.85308837890625
SENSE daaa 16 22-04-2019 10:13:50.201 T: 23.96159934997558 [C]; A:[0, 0, 234]; H: 69.47760009765625
SENSE daad 7 22-04-2019 10:13:50.305 T: 26.27039909362792 [C]; A:[-4, -4, 204]; H: 66.8302001953125
SENSE daaa 17 22-04-2019 10:13:50.777 T: 23.96159934997558 [C]; A:[0, 2, 222]; H: 69.47760009765625
SENSE daad 8 22-04-2019 10:13:50.870 T: 26.27039909362792 [C]; A:[-4, 0, 206]; H: 66.8302001953125
SENSE daaa 18 22-04-2019 10:13:51.343 T: 23.96159934997558 [C]; A:[-6, 8, 232]; H: 69.47760009765625
SENSE daab 18 22-04-2019 10:13:46.706 T: 27.8927993774414 [C]; A:[-10, 22, 238]; H: 62.30596923828125
SENSE daac 10 22-04-2019 10:13:46.915 T: 24.772798538208 [C]; A:[6, 6, 244]; H: 66.8759765625
SENSE daab 19 22-04-2019 10:13:52.149 T: 27.83039855957031 [C]; A:[-8, 20, 236]; H: 62.24493408203125
SENSE daac 11 22-04-2019 10:13:52.360 T: 24.772798538208 [C]; A:[2, 8, 250]; H: 66.89886474609375
SENSE daab 20 22-04-2019 10:13:52.717 T: 27.8927993774414 [C]; A:[-8, 22, 240]; H: 62.24493408203125
SENSE daac 12 22-04-2019 10:13:52.937 T: 24.71039962768554 [C]; A:[0, 12, 250]; H: 66.89886474609375
SENSE daab 21 22-04-2019 10:13:53.294 T: 27.8927993774414 [C]; A:[-16, 20, 234]; H: 62.21441650390625
SENSE daac 13 22-04-2019 10:13:53.520 T: 24.772798538208 [C]; A:[6, 4, 252]; H: 66.8759765625
SENSE daab 22 22-04-2019 10:13:53.871 T: 27.8927993774414 [C]; A:[-8, 10, 224]; H: 62.18389892578125
SENSE daac 14 22-04-2019 10:13:54.083 T: 24.71039962768554 [C]; A:[0, 12, 248]; H: 66.8759765625
SENSE daab 23 22-04-2019 10:13:54.438 T: 27.8927993774414 [C]; A:[-6, 18, 234]; H: 62.18389892578125
SENSE daac 15 22-04-2019 10:13:54.669 T: 24.71039962768554 [C]; A:[0, 6, 248]; H: 66.8759765625
SENSE daab 24 22-04-2019 10:13:55.015 T: 27.8927993774414 [C]; A:[-6, 16, 236]; H: 62.15338134765625
SENSE daac 16 22-04-2019 10:13:55.237 T: 24.71039962768554 [C]; A:[2, 6, 252]; H: 66.8759765625
