SENSE daaa 1 19-04-2019 06:24:05.929 T: 25.58399963378906 [C]; A:[0, 0, 0]; H: 86.32330322265625
SENSE daab 1 19-04-2019 06:24:05.936 T: 26.20800018310546 [C]; A:[0, 0, 0]; H: 84.0421142578125
SENSE daaa 2 19-04-2019 06:24:06.395 T: 25.64639854431152 [C]; A:[-30, 0, 198]; H: 86.32330322265625
SENSE daab 2 19-04-2019 06:24:06.618 T: 26.20800018310546 [C]; A:[14, 6, 234]; H: 84.01922607421875
SENSE daaa 3 19-04-2019 06:24:06.965 T: 25.64639854431152 [C]; A:[-30, 0, 202]; H: 86.32330322265625
SENSE daab 3 19-04-2019 06:24:07.195 T: 26.27039909362792 [C]; A:[16, 2, 236]; H: 84.01922607421875
SENSE daaa 4 19-04-2019 06:24:07.530 T: 25.64639854431152 [C]; A:[-26, -8, 200]; H: 86.32330322265625
SENSE daab 4 19-04-2019 06:24:07.768 T: 26.27039909362792 [C]; A:[12, 2, 236]; H: 83.98870849609375
SENSE daaa 5 19-04-2019 06:24:08.111 T: 25.64639854431152 [C]; A:[-28, 0, 202]; H: 86.3004150390625
SENSE daab 5 19-04-2019 06:24:08.345 T: 26.27039909362792 [C]; A:[16, 4, 236]; H: 83.98870849609375
SENSE daaa 6 19-04-2019 06:24:08.686 T: 25.58399963378906 [C]; A:[-32, 0, 204]; H: 86.3004150390625
SENSE daab 6 19-04-2019 06:24:08.922 T: 26.27039909362792 [C]; A:[22, 0, 230]; H: 83.98870849609375
SENSE daaa 7 19-04-2019 06:24:09.271 T: 25.64639854431152 [C]; A:[-26, 0, 204]; H: 86.3004150390625
SENSE daab 7 19-04-2019 06:24:09.500 T: 26.33279991149902 [C]; A:[16, 0, 234]; H: 83.98870849609375
SENSE daaa 8 19-04-2019 06:24:09.846 T: 25.64639854431152 [C]; A:[-32, 0, 204]; H: 86.3004150390625
SENSE daab 8 19-04-2019 06:24:10.071 T: 26.33279991149902 [C]; A:[14, 6, 234]; H: 83.95819091796875
SENSE daaa 9 19-04-2019 06:24:10.416 T: 25.64639854431152 [C]; A:[-30, 0, 200]; H: 86.3004150390625
SENSE daab 9 19-04-2019 06:24:10.649 T: 26.27039909362792 [C]; A:[16, 6, 234]; H: 83.935302734375
SENSE daac 1 19-04-2019 06:24:05.922 T: 29.14079856872558 [C]; A:[0, 0, 0]; H: 74.32989501953125
SENSE daab 10 19-04-2019 06:24:11.226 T: 26.33279991149902 [C]; A:[16, 2, 238]; H: 83.935302734375
SENSE daac 2 19-04-2019 06:24:11.455 T: 29.07839965820312 [C]; A:[0, -52, 216]; H: 74.26885986328125
SENSE daab 11 19-04-2019 06:24:11.793 T: 26.27039909362792 [C]; A:[16, 4, 232]; H: 83.935302734375
SENSE daac 3 19-04-2019 06:24:12.026 T: 29.14079856872558 [C]; A:[2, -56, 220]; H: 74.26885986328125
SENSE daab 12 19-04-2019 06:24:12.380 T: 26.27039909362792 [C]; A:[16, 4, 228]; H: 83.935302734375
SENSE daac 4 19-04-2019 06:24:12.602 T: 29.07839965820312 [C]; A:[0, -60, 224]; H: 74.26885986328125
SENSE daab 13 19-04-2019 06:24:12.958 T: 26.33279991149902 [C]; A:[20, 4, 230]; H: 83.90478515625
SENSE daac 5 19-04-2019 06:24:13.178 T: 29.14079856872558 [C]; A:[0, -58, 218]; H: 74.26885986328125
SENSE daab 14 19-04-2019 06:24:13.531 T: 26.33279991149902 [C]; A:[18, 6, 234]; H: 83.90478515625
SENSE daac 6 19-04-2019 06:24:13.754 T: 29.14079856872558 [C]; A:[0, -56, 220]; H: 74.26885986328125
SENSE daab 15 19-04-2019 06:24:14.107 T: 26.33279991149902 [C]; A:[18, 6, 228]; H: 83.874267578125
SENSE daac 7 19-04-2019 06:24:14.335 T: 29.14079856872558 [C]; A:[2, -54, 220]; H: 74.230712890625
SENSE daab 16 19-04-2019 06:24:14.685 T: 26.33279991149902 [C]; A:[16, 4, 230]; H: 83.874267578125
SENSE daac 8 19-04-2019 06:24:14.911 T: 29.14079856872558 [C]; A:[0, -56, 218]; H: 74.230712890625
SENSE daab 17 19-04-2019 06:24:15.262 T: 26.33279991149902 [C]; A:[14, 4, 234]; H: 83.9200439453125
SENSE daac 9 19-04-2019 06:24:15.477 T: 29.14079856872558 [C]; A:[2, -58, 218]; H: 74.230712890625
SENSE daaa 10 19-04-2019 06:24:10.996 T: 25.64639854431152 [C]; A:[-30, 0, 202]; H: 86.2698974609375
SENSE daac 10 19-04-2019 06:24:16.053 T: 29.14079856872558 [C]; A:[0, -56, 222]; H: 74.230712890625
SENSE daaa 11 19-04-2019 06:24:16.461 T: 25.64639854431152 [C]; A:[-28, 0, 204]; H: 86.28515625
SENSE daac 11 19-04-2019 06:24:16.629 T: 29.14079856872558 [C]; A:[-4, -52, 218]; H: 74.230712890625
SENSE daaa 12 19-04-2019 06:24:17.036 T: 25.64639854431152 [C]; A:[-28, 0, 206]; H: 86.28515625
SENSE daac 12 19-04-2019 06:24:17.195 T: 29.14079856872558 [C]; A:[0, -54, 222]; H: 74.230712890625
SENSE daaa 13 19-04-2019 06:24:17.591 T: 25.64639854431152 [C]; A:[-30, 0, 200]; H: 86.254638671875
SENSE daac 13 19-04-2019 06:24:17.761 T: 29.14079856872558 [C]; A:[2, -52, 220]; H: 74.2001953125
SENSE daaa 14 19-04-2019 06:24:18.167 T: 25.70879936218261 [C]; A:[-32, 0, 196]; H: 86.254638671875
SENSE daac 14 19-04-2019 06:24:18.338 T: 29.14079856872558 [C]; A:[0, -54, 220]; H: 74.2001953125
SENSE daaa 15 19-04-2019 06:24:18.741 T: 25.64639854431152 [C]; A:[-28, 0, 198]; H: 86.254638671875
SENSE daac 15 19-04-2019 06:24:18.913 T: 29.14079856872558 [C]; A:[0, -50, 220]; H: 74.2001953125
SENSE daaa 16 19-04-2019 06:24:19.321 T: 25.64639854431152 [C]; A:[-30, 0, 198]; H: 86.254638671875
SENSE daac 16 19-04-2019 06:24:19.489 T: 29.20319938659667 [C]; A:[0, -54, 224]; H: 74.2001953125
SENSE daaa 17 19-04-2019 06:24:19.891 T: 25.64639854431152 [C]; A:[-26, -6, 202]; H: 86.23175048828125
SENSE daac 17 19-04-2019 06:24:20.066 T: 29.14079856872558 [C]; A:[0, -56, 220]; H: 74.2001953125
SENSE daaa 18 19-04-2019 06:24:20.471 T: 25.64639854431152 [C]; A:[-28, 0, 206]; H: 86.23175048828125
SENSE daab 18 19-04-2019 06:24:15.819 T: 26.33279991149902 [C]; A:[20, 0, 238]; H: 83.8895263671875
SENSE daad 1 19-04-2019 06:24:05.917 T: 28.70399856567382 [C]; A:[-4, -20, 254]; H: 73.1015625
SENSE daab 19 19-04-2019 06:24:21.273 T: 26.39519882202148 [C]; A:[12, 6, 234]; H: 83.74456787109375
SENSE daad 2 19-04-2019 06:24:21.421 T: 28.70399856567382 [C]; A:[0, -14, 244]; H: 73.2388916015625
SENSE daab 20 19-04-2019 06:24:21.841 T: 26.39519882202148 [C]; A:[14, 4, 232]; H: 83.74456787109375
SENSE daad 3 19-04-2019 06:24:22.008 T: 28.64159965515136 [C]; A:[-6, -18, 248]; H: 73.2083740234375
SENSE daab 21 19-04-2019 06:24:22.418 T: 26.39519882202148 [C]; A:[14, 4, 234]; H: 83.7216796875
SENSE daad 4 19-04-2019 06:24:22.586 T: 28.70399856567382 [C]; A:[-6, -14, 248]; H: 73.2083740234375
SENSE daab 22 19-04-2019 06:24:22.995 T: 26.39519882202148 [C]; A:[14, 4, 240]; H: 83.691162109375
SENSE daad 5 19-04-2019 06:24:23.163 T: 28.64159965515136 [C]; A:[0, -18, 248]; H: 73.2083740234375
SENSE daab 23 19-04-2019 06:24:23.572 T: 26.45759963989257 [C]; A:[14, 2, 232]; H: 83.691162109375
SENSE daad 6 19-04-2019 06:24:23.735 T: 28.70399856567382 [C]; A:[-4, -18, 254]; H: 73.18548583984375
SENSE daab 24 19-04-2019 06:24:24.150 T: 26.39519882202148 [C]; A:[14, 4, 232]; H: 83.66064453125
SENSE daad 7 19-04-2019 06:24:24.308 T: 28.70399856567382 [C]; A:[-10, -16, 248]; H: 73.18548583984375
SENSE daab 25 19-04-2019 06:24:24.727 T: 26.45759963989257 [C]; A:[16, 6, 232]; H: 83.630126953125
SENSE daad 8 19-04-2019 06:24:24.880 T: 28.70399856567382 [C]; A:[0, -14, 248]; H: 73.18548583984375
SENSE daab 26 19-04-2019 06:24:25.301 T: 26.45759963989257 [C]; A:[14, 0, 216]; H: 83.630126953125
SENSE daac 18 19-04-2019 06:24:20.642 T: 29.14079856872558 [C]; A:[0, -50, 218]; H: 74.2001953125
SENSE daaa 19 19-04-2019 06:24:21.046 T: 25.64639854431152 [C]; A:[-24, -6, 206]; H: 86.23175048828125
SENSE daac 19 19-04-2019 06:24:26.085 T: 29.20319938659667 [C]; A:[2, -56, 218]; H: 74.13916015625
SENSE daaa 20 19-04-2019 06:24:26.492 T: 25.70879936218261 [C]; A:[-32, 0, 206]; H: 86.1478271484375
SENSE daac 20 19-04-2019 06:24:26.672 T: 29.14079856872558 [C]; A:[-4, -52, 214]; H: 74.13916015625
SENSE daaa 21 19-04-2019 06:24:27.077 T: 25.64639854431152 [C]; A:[-30, 4, 204]; H: 86.1478271484375
SENSE daac 21 19-04-2019 06:24:27.237 T: 29.14079856872558 [C]; A:[0, -56, 222]; H: 74.13916015625
SENSE daaa 22 19-04-2019 06:24:27.642 T: 25.70879936218261 [C]; A:[-32, 0, 198]; H: 86.1478271484375
SENSE daac 22 19-04-2019 06:24:27.813 T: 29.14079856872558 [C]; A:[0, -54, 226]; H: 74.108642578125
SENSE daaa 23 19-04-2019 06:24:28.217 T: 25.70879936218261 [C]; A:[-28, 0, 200]; H: 86.1478271484375
SENSE daac 23 19-04-2019 06:24:28.400 T: 29.14079856872558 [C]; A:[0, -54, 224]; H: 74.108642578125
SENSE daaa 24 19-04-2019 06:24:28.802 T: 25.70879936218261 [C]; A:[-28, 0, 204]; H: 86.0867919921875
SENSE daac 24 19-04-2019 06:24:28.966 T: 29.14079856872558 [C]; A:[0, -54, 222]; H: 74.108642578125
SENSE daaa 25 19-04-2019 06:24:29.367 T: 25.70879936218261 [C]; A:[-28, 0, 204]; H: 86.0867919921875
SENSE daac 25 19-04-2019 06:24:29.542 T: 29.14079856872558 [C]; A:[6, -56, 220]; H: 74.108642578125
SENSE daaa 26 19-04-2019 06:24:29.959 T: 25.70879936218261 [C]; A:[-30, 0, 202]; H: 86.0867919921875
SENSE daac 26 19-04-2019 06:24:30.118 T: 29.14079856872558 [C]; A:[0, -58, 220]; H: 74.108642578125
SENSE daad 9 19-04-2019 06:24:25.447 T: 28.70399856567382 [C]; A:[-8, -14, 252]; H: 73.18548583984375
SENSE daab 27 19-04-2019 06:24:25.862 T: 26.45759963989257 [C]; A:[22, 4, 228]; H: 83.60723876953125
SENSE daad 10 19-04-2019 06:24:30.922 T: 28.76639938354492 [C]; A:[0, -14, 254]; H: 73.1015625
SENSE daab 28 19-04-2019 06:24:31.336 T: 26.45759963989257 [C]; A:[16, 6, 232]; H: 83.48516845703125
SENSE daad 11 19-04-2019 06:24:31.500 T: 28.70399856567382 [C]; A:[0, -20, 250]; H: 73.071044921875
SENSE daab 29 19-04-2019 06:24:31.913 T: 26.51999855041503 [C]; A:[14, 6, 234]; H: 83.48516845703125
SENSE daad 12 19-04-2019 06:24:32.067 T: 28.70399856567382 [C]; A:[0, -16, 248]; H: 73.071044921875
SENSE daab 30 19-04-2019 06:24:32.481 T: 26.51999855041503 [C]; A:[18, 4, 230]; H: 83.45465087890625
SENSE daad 13 19-04-2019 06:24:32.645 T: 28.70399856567382 [C]; A:[-6, -18, 252]; H: 73.04052734375
SENSE daab 31 19-04-2019 06:24:33.048 T: 26.51999855041503 [C]; A:[14, 4, 236]; H: 83.42413330078125
SENSE daad 14 19-04-2019 06:24:33.212 T: 28.70399856567382 [C]; A:[0, -20, 248]; H: 73.04052734375
SENSE daab 32 19-04-2019 06:24:33.625 T: 26.51999855041503 [C]; A:[14, 8, 242]; H: 83.39361572265625
SENSE daad 15 19-04-2019 06:24:33.789 T: 28.70399856567382 [C]; A:[0, -20, 256]; H: 73.04052734375
SENSE daab 33 19-04-2019 06:24:34.203 T: 26.51999855041503 [C]; A:[18, 10, 234]; H: 83.3707275390625
SENSE daad 16 19-04-2019 06:24:34.367 T: 28.76639938354492 [C]; A:[0, -18, 244]; H: 73.04052734375
SENSE daab 34 19-04-2019 06:24:34.780 T: 26.58239936828613 [C]; A:[18, 2, 238]; H: 83.3707275390625
SENSE daad 17 19-04-2019 06:24:34.934 T: 28.76639938354492 [C]; A:[-4, -16, 250]; H: 73.04052734375
SENSE daaa 27 19-04-2019 06:24:30.527 T: 25.70879936218261 [C]; A:[-28, 0, 196]; H: 86.0562744140625
SENSE daac 27 19-04-2019 06:24:30.699 T: 29.20319938659667 [C]; A:[0, -50, 222]; H: 74.108642578125
SENSE daaa 28 19-04-2019 06:24:35.972 T: 25.70879936218261 [C]; A:[-32, 0, 202]; H: 85.9189453125
SENSE daac 28 19-04-2019 06:24:36.151 T: 29.20319938659667 [C]; A:[-4, -50, 214]; H: 74.07049560546875
SENSE daaa 29 19-04-2019 06:24:36.547 T: 25.70879936218261 [C]; A:[-30, 0, 202]; H: 85.9189453125
SENSE daac 29 19-04-2019 06:24:36.732 T: 29.20319938659667 [C]; A:[0, -54, 214]; H: 74.07049560546875
SENSE daaa 30 19-04-2019 06:24:37.122 T: 25.70879936218261 [C]; A:[-32, 0, 202]; H: 85.888427734375
SENSE daac 30 19-04-2019 06:24:37.294 T: 29.20319938659667 [C]; A:[0, -52, 224]; H: 74.07049560546875
SENSE daaa 31 19-04-2019 06:24:37.697 T: 25.70879936218261 [C]; A:[-28, 0, 200]; H: 85.888427734375
SENSE daac 31 19-04-2019 06:24:37.875 T: 29.20319938659667 [C]; A:[0, -56, 220]; H: 74.07049560546875
SENSE daaa 32 19-04-2019 06:24:38.272 T: 25.70879936218261 [C]; A:[-32, 0, 208]; H: 85.85791015625
SENSE daac 32 19-04-2019 06:24:38.456 T: 29.20319938659667 [C]; A:[0, -52, 216]; H: 74.108642578125
SENSE daaa 33 19-04-2019 06:24:38.858 T: 25.70879936218261 [C]; A:[-28, -4, 206]; H: 85.85791015625
SENSE daac 33 19-04-2019 06:24:39.033 T: 29.14079856872558 [C]; A:[0, -56, 224]; H: 74.07049560546875
SENSE daaa 34 19-04-2019 06:24:39.422 T: 25.70879936218261 [C]; A:[-26, 0, 204]; H: 85.83502197265625
SENSE daac 34 19-04-2019 06:24:39.598 T: 29.14079856872558 [C]; A:[-4, -50, 222]; H: 74.108642578125
SENSE daaa 35 19-04-2019 06:24:39.997 T: 25.77120018005371 [C]; A:[-30, 0, 206]; H: 85.83502197265625
SENSE daab 35 19-04-2019 06:24:35.347 T: 26.51999855041503 [C]; A:[12, 8, 234]; H: 83.3402099609375
SENSE daad 18 19-04-2019 06:24:35.512 T: 28.76639938354492 [C]; A:[0, -18, 242]; H: 72.98712158203125
SENSE daab 36 19-04-2019 06:24:40.811 T: 26.64480018615722 [C]; A:[20, 6, 234]; H: 83.080810546875
SENSE daad 19 19-04-2019 06:24:40.982 T: 28.76639938354492 [C]; A:[-10, -12, 250]; H: 72.98712158203125
