SENSE daaa 18 19-04-2019 06:06:59.297 T: 25.70879936218261 [C]; A:[-74, 0, 194]; H: 85.888427734375
SENSE daab 18 19-04-2019 06:06:54.637 T: 27.20639991760253 [C]; A:[2, 2, 238]; H: 80.52496337890625
SENSE daac 10 19-04-2019 06:06:54.862 T: 28.51679992675781 [C]; A:[14, -68, 216]; H: 76.09991455078125
SENSE daab 19 19-04-2019 06:07:00.101 T: 27.268798828125 [C]; A:[4, 8, 232]; H: 80.4410400390625
SENSE daac 11 19-04-2019 06:07:00.335 T: 28.51679992675781 [C]; A:[14, -68, 208]; H: 76.1075439453125
SENSE daab 20 19-04-2019 06:07:00.679 T: 27.268798828125 [C]; A:[6, 4, 236]; H: 80.4410400390625
SENSE daac 12 19-04-2019 06:07:00.916 T: 28.51679992675781 [C]; A:[14, -70, 216]; H: 76.1075439453125
SENSE daab 21 19-04-2019 06:07:01.255 T: 27.268798828125 [C]; A:[4, 6, 234]; H: 80.4105224609375
SENSE daac 13 19-04-2019 06:07:01.483 T: 28.51679992675781 [C]; A:[12, -68, 222]; H: 76.1075439453125
SENSE daab 22 19-04-2019 06:07:01.833 T: 27.268798828125 [C]; A:[6, 0, 236]; H: 80.4105224609375
SENSE daac 14 19-04-2019 06:07:02.053 T: 28.51679992675781 [C]; A:[16, -70, 222]; H: 76.0770263671875
SENSE daab 23 19-04-2019 06:07:02.400 T: 27.268798828125 [C]; A:[8, 2, 236]; H: 80.4105224609375
SENSE daac 15 19-04-2019 06:07:02.634 T: 28.51679992675781 [C]; A:[14, -72, 208]; H: 76.0770263671875
SENSE daab 24 19-04-2019 06:07:02.977 T: 27.268798828125 [C]; A:[4, 4, 230]; H: 80.4105224609375
SENSE daac 16 19-04-2019 06:07:03.215 T: 28.51679992675781 [C]; A:[22, -70, 220]; H: 76.0770263671875
SENSE daab 25 19-04-2019 06:07:03.554 T: 27.268798828125 [C]; A:[0, 4, 234]; H: 80.38763427734375
SENSE daac 17 19-04-2019 06:07:03.786 T: 28.51679992675781 [C]; A:[20, -72, 218]; H: 76.0770263671875
SENSE daab 26 19-04-2019 06:07:04.132 T: 27.268798828125 [C]; A:[4, 4, 224]; H: 80.38763427734375
SENSE daad 9 19-04-2019 06:06:59.404 T: 28.70399856567382 [C]; A:[0, -18, 246]; H: 72.98712158203125
SENSE daaa 19 19-04-2019 06:06:59.872 T: 25.70879936218261 [C]; A:[-72, 0, 192]; H: 85.85791015625
SENSE daad 10 19-04-2019 06:07:04.874 T: 28.70399856567382 [C]; A:[0, -18, 250]; H: 72.98712158203125
SENSE daaa 20 19-04-2019 06:07:05.348 T: 25.77120018005371 [C]; A:[-76, 2, 200]; H: 85.80450439453125
SENSE daad 11 19-04-2019 06:07:05.457 T: 28.70399856567382 [C]; A:[0, -18, 250]; H: 72.98712158203125
SENSE daaa 21 19-04-2019 06:07:05.922 T: 25.70879936218261 [C]; A:[-72, 0, 194]; H: 85.77398681640625
SENSE daad 12 19-04-2019 06:07:06.029 T: 28.70399856567382 [C]; A:[-4, -20, 244]; H: 72.98712158203125
SENSE daaa 22 19-04-2019 06:07:06.487 T: 25.77120018005371 [C]; A:[-72, 2, 192]; H: 85.77398681640625
SENSE daad 13 19-04-2019 06:07:06.607 T: 28.76639938354492 [C]; A:[0, -18, 246]; H: 72.98712158203125
SENSE daaa 23 19-04-2019 06:07:07.072 T: 25.77120018005371 [C]; A:[-74, 6, 188]; H: 85.77398681640625
SENSE daad 14 19-04-2019 06:07:07.179 T: 28.76639938354492 [C]; A:[0, -18, 244]; H: 72.98712158203125
SENSE daaa 24 19-04-2019 06:07:07.647 T: 25.77120018005371 [C]; A:[-74, 2, 192]; H: 85.74346923828125
SENSE daad 15 19-04-2019 06:07:07.761 T: 28.70399856567382 [C]; A:[-4, -14, 248]; H: 72.98712158203125
SENSE daaa 25 19-04-2019 06:07:08.222 T: 25.77120018005371 [C]; A:[-72, 0, 192]; H: 85.74346923828125
SENSE daad 16 19-04-2019 06:07:08.334 T: 28.76639938354492 [C]; A:[-6, -14, 248]; H: 72.98712158203125
SENSE daaa 26 19-04-2019 06:07:08.793 T: 25.77120018005371 [C]; A:[-74, 2, 192]; H: 85.74346923828125
SENSE daad 17 19-04-2019 06:07:08.896 T: 28.70399856567382 [C]; A:[-4, -14, 248]; H: 72.98712158203125
SENSE daac 18 19-04-2019 06:07:04.357 T: 28.51679992675781 [C]; A:[14, -68, 222]; H: 76.0770263671875
SENSE daab 27 19-04-2019 06:07:04.710 T: 27.3311996459961 [C]; A:[6, 2, 230]; H: 80.35711669921875
SENSE daac 19 19-04-2019 06:07:09.831 T: 28.57919883728027 [C]; A:[14, -68, 214]; H: 75.97784423828125
SENSE daab 28 19-04-2019 06:07:10.183 T: 27.39359855651855 [C]; A:[10, 2, 232]; H: 80.24267578125
SENSE daac 20 19-04-2019 06:07:10.412 T: 28.57919883728027 [C]; A:[20, -72, 220]; H: 75.97784423828125
SENSE daab 29 19-04-2019 06:07:10.751 T: 27.39359855651855 [C]; A:[2, 4, 232]; H: 80.24267578125
SENSE daac 21 19-04-2019 06:07:10.983 T: 28.57919883728027 [C]; A:[18, -70, 218]; H: 75.97784423828125
SENSE daab 30 19-04-2019 06:07:11.318 T: 27.39359855651855 [C]; A:[8, 0, 232]; H: 80.24267578125
SENSE daac 22 19-04-2019 06:07:11.554 T: 28.51679992675781 [C]; A:[18, -72, 226]; H: 75.97784423828125
SENSE daab 31 19-04-2019 06:07:11.905 T: 27.3311996459961 [C]; A:[6, 0, 232]; H: 80.2579345703125
SENSE daac 23 19-04-2019 06:07:12.135 T: 28.51679992675781 [C]; A:[14, -66, 218]; H: 75.97784423828125
SENSE daab 32 19-04-2019 06:07:12.483 T: 27.3311996459961 [C]; A:[6, 0, 232]; H: 80.23504638671875
SENSE daac 24 19-04-2019 06:07:12.706 T: 28.57919883728027 [C]; A:[22, -70, 214]; H: 75.97784423828125
SENSE daab 33 19-04-2019 06:07:13.061 T: 27.39359855651855 [C]; A:[6, 2, 236]; H: 80.23504638671875
SENSE daac 25 19-04-2019 06:07:13.288 T: 28.64159965515136 [C]; A:[14, -68, 216]; H: 75.97784423828125
SENSE daab 34 19-04-2019 06:07:13.632 T: 27.39359855651855 [C]; A:[4, 0, 230]; H: 80.20452880859375
SENSE daac 26 19-04-2019 06:07:13.849 T: 28.57919883728027 [C]; A:[14, -72, 222]; H: 75.97784423828125
