SENSE daac 14 22-04-2019 11:22:05.357 T: 26.9567985534668 [C]; A:[0, 62, 194]; H: 64.50323486328125
SENSE daab 12 22-04-2019 11:22:00.545 T: 28.32959938049316 [C]; A:[-48, -32, 160]; H: 61.2760009765625
SENSE daab 13 22-04-2019 11:22:00.995 T: 28.32959938049316 [C]; A:[-48, -32, 164]; H: 61.2760009765625
SENSE daac 15 22-04-2019 11:22:06.482 T: 27.0191993713379 [C]; A:[0, 66, 192]; H: 64.53375244140625
SENSE daab 14 22-04-2019 11:22:01.390 T: 28.32959938049316 [C]; A:[-56, -24, 164]; H: 61.2760009765625
SENSE daab 15 22-04-2019 11:22:01.834 T: 28.32959938049316 [C]; A:[-64, -32, 162]; H: 61.2760009765625
SENSE daac 16 22-04-2019 11:22:07.557 T: 27.0191993713379 [C]; A:[0, 64, 194]; H: 64.53375244140625
SENSE daad 10 22-04-2019 11:22:09.282 T: 25.58399963378906 [C]; A:[-6, 4, 240]; H: 65.258544921875
SENSE daad 11 22-04-2019 11:22:09.848 T: 25.58399963378906 [C]; A:[0, 4, 226]; H: 65.258544921875
SENSE daad 12 22-04-2019 11:22:10.439 T: 25.58399963378906 [C]; A:[0, 0, 234]; H: 65.22802734375
SENSE daaa 19 22-04-2019 11:22:01.072 T: 25.83359909057617 [C]; A:[4, 0, 246]; H: 63.27490234375
SENSE daad 13 22-04-2019 11:22:11.011 T: 25.58399963378906 [C]; A:[-4, 4, 228]; H: 65.22802734375
SENSE daaa 20 22-04-2019 11:22:11.356 T: 25.89599990844726 [C]; A:[10, 0, 254]; H: 63.3359375
SENSE daad 14 22-04-2019 11:22:11.631 T: 25.64639854431152 [C]; A:[-4, 0, 230]; H: 65.197509765625
SENSE daaa 21 22-04-2019 11:22:11.918 T: 25.89599990844726 [C]; A:[2, 0, 246]; H: 63.3359375
SENSE daad 15 22-04-2019 11:22:12.222 T: 25.58399963378906 [C]; A:[-4, 6, 234]; H: 65.17462158203125
SENSE daad 16 22-04-2019 11:22:12.804 T: 25.64639854431152 [C]; A:[0, 2, 226]; H: 65.17462158203125
SENSE daac 17 22-04-2019 11:22:12.912 T: 27.0191993713379 [C]; A:[0, 64, 198]; H: 64.50323486328125
SENSE daad 17 22-04-2019 11:22:13.405 T: 25.58399963378906 [C]; A:[0, 0, 228]; H: 65.17462158203125
SENSE daac 18 22-04-2019 11:22:13.627 T: 27.0191993713379 [C]; A:[0, 64, 198]; H: 64.47271728515625
SENSE daad 18 22-04-2019 11:22:14.125 T: 25.64639854431152 [C]; A:[0, 2, 236]; H: 65.17462158203125
SENSE daac 19 22-04-2019 11:22:14.347 T: 27.0191993713379 [C]; A:[0, 62, 196]; H: 64.47271728515625
SENSE daad 19 22-04-2019 11:22:14.855 T: 25.64639854431152 [C]; A:[0, 4, 228]; H: 65.1212158203125
SENSE daac 20 22-04-2019 11:22:15.062 T: 27.0191993713379 [C]; A:[0, 64, 192]; H: 64.47271728515625
SENSE daad 20 22-04-2019 11:22:15.560 T: 25.64639854431152 [C]; A:[0, 6, 240]; H: 65.0906982421875
SENSE daac 21 22-04-2019 11:22:15.777 T: 27.0191993713379 [C]; A:[-4, 64, 196]; H: 64.47271728515625
SENSE daad 21 22-04-2019 11:22:16.281 T: 25.64639854431152 [C]; A:[-4, 4, 226]; H: 65.0601806640625
SENSE daac 22 22-04-2019 11:22:16.492 T: 27.0191993713379 [C]; A:[0, 64, 198]; H: 64.44219970703125
SENSE daad 22 22-04-2019 11:22:16.986 T: 25.58399963378906 [C]; A:[0, 0, 234]; H: 65.03729248046875
SENSE daac 23 22-04-2019 11:22:17.217 T: 27.0191993713379 [C]; A:[0, 64, 196]; H: 64.44219970703125
SENSE daad 23 22-04-2019 11:22:17.706 T: 25.64639854431152 [C]; A:[-4, 6, 234]; H: 65.00677490234375
SENSE daac 24 22-04-2019 11:22:17.942 T: 27.0191993713379 [C]; A:[0, 62, 186]; H: 64.44219970703125
SENSE daad 24 22-04-2019 11:22:18.432 T: 25.64639854431152 [C]; A:[0, 2, 228]; H: 65.00677490234375
SENSE daac 25 22-04-2019 11:22:18.657 T: 27.0191993713379 [C]; A:[0, 64, 194]; H: 64.41168212890625
SENSE daad 25 22-04-2019 11:22:19.157 T: 25.64639854431152 [C]; A:[-4, 10, 230]; H: 64.97625732421875
SENSE daac 26 22-04-2019 11:22:19.382 T: 27.0191993713379 [C]; A:[0, 66, 194]; H: 64.41168212890625
SENSE daad 26 22-04-2019 11:22:19.892 T: 25.64639854431152 [C]; A:[-6, 2, 226]; H: 64.97625732421875
