SENSE daab 31 22-04-2019 11:08:46.100 T: 29.32799911499023 [C]; A:[-48, -32, 152]; H: 58.666748046875
SENSE daab 32 22-04-2019 11:08:46.650 T: 29.39039993286132 [C]; A:[58, 56, 224]; H: 58.666748046875
SENSE daad 12 22-04-2019 11:08:47.985 T: 25.58399963378906 [C]; A:[-8, 2, 236]; H: 65.12884521484375
SENSE daab 33 22-04-2019 11:08:47.084 T: 29.32799911499023 [C]; A:[-64, -32, 222]; H: 58.666748046875
SENSE daac 9 22-04-2019 11:08:38.915 T: 26.83199882507324 [C]; A:[0, 62, 194]; H: 65.35009765625
SENSE daab 34 22-04-2019 11:08:47.660 T: 29.39039993286132 [C]; A:[-2, 54, 318]; H: 58.666748046875
SENSE daad 13 22-04-2019 11:08:49.029 T: 25.52159881591796 [C]; A:[0, 0, 236]; H: 65.12884521484375
SENSE daab 35 22-04-2019 11:08:48.215 T: 29.39039993286132 [C]; A:[62, 70, 256]; H: 58.666748046875
SENSE daac 10 22-04-2019 11:08:49.633 T: 26.89439964294433 [C]; A:[0, 64, 198]; H: 65.14410400390625
SENSE daad 14 22-04-2019 11:08:50.305 T: 25.58399963378906 [C]; A:[0, 0, 232]; H: 65.12884521484375
SENSE daad 15 22-04-2019 11:08:51.025 T: 25.58399963378906 [C]; A:[-6, 4, 232]; H: 65.12884521484375
SENSE daad 16 22-04-2019 11:08:51.591 T: 25.52159881591796 [C]; A:[-4, 8, 230]; H: 65.12884521484375
SENSE daaa 4 22-04-2019 11:08:47.326 T: 25.64639854431152 [C]; A:[0, 0, 248]; H: 63.9462890625
SENSE daad 17 22-04-2019 11:08:52.158 T: 25.52159881591796 [C]; A:[0, 4, 238]; H: 65.12884521484375
SENSE daaa 5 22-04-2019 11:08:52.588 T: 25.70879936218261 [C]; A:[0, 0, 250]; H: 63.976806640625
SENSE daad 18 22-04-2019 11:08:52.878 T: 25.52159881591796 [C]; A:[0, 0, 234]; H: 65.12884521484375
SENSE daaa 6 22-04-2019 11:08:53.160 T: 25.64639854431152 [C]; A:[0, 0, 244]; H: 63.9462890625
SENSE daad 19 22-04-2019 11:08:53.449 T: 25.52159881591796 [C]; A:[0, 0, 230]; H: 65.12884521484375
SENSE daaa 7 22-04-2019 11:08:53.724 T: 25.64639854431152 [C]; A:[8, 0, 246]; H: 63.9462890625
SENSE daad 20 22-04-2019 11:08:54.036 T: 25.58399963378906 [C]; A:[0, 2, 208]; H: 65.17462158203125
SENSE daaa 8 22-04-2019 11:08:54.315 T: 25.64639854431152 [C]; A:[2, 0, 254]; H: 63.915771484375
SENSE daad 21 22-04-2019 11:08:54.597 T: 25.58399963378906 [C]; A:[0, 0, 226]; H: 65.17462158203125
SENSE daaa 9 22-04-2019 11:08:54.893 T: 25.70879936218261 [C]; A:[6, 0, 252]; H: 63.854736328125
SENSE daad 22 22-04-2019 11:08:55.228 T: 25.58399963378906 [C]; A:[0, 0, 224]; H: 65.17462158203125
