SENSE daab 14 22-04-2019 11:14:26.066 T: 28.89119911193847 [C]; A:[54, 94, 350]; H: 59.673828125
SENSE daad 14 22-04-2019 11:14:31.590 T: 25.70879936218261 [C]; A:[-6, 4, 234]; H: 64.556640625
SENSE daaa 13 22-04-2019 11:14:28.604 T: 25.4591999053955 [C]; A:[8, -24, 244]; H: 63.82421875
SENSE daaa 14 22-04-2019 11:14:33.850 T: 25.39679908752441 [C]; A:[6, -30, 246]; H: 63.82421875
SENSE daaa 15 22-04-2019 11:14:34.298 T: 25.4591999053955 [C]; A:[6, -24, 244]; H: 63.82421875
SENSE daaa 16 22-04-2019 11:14:34.746 T: 25.52159881591796 [C]; A:[6, -30, 250]; H: 63.82421875
SENSE daaa 17 22-04-2019 11:14:35.194 T: 25.52159881591796 [C]; A:[2, -22, 252]; H: 63.793701171875
SENSE daaa 18 22-04-2019 11:14:35.652 T: 25.4591999053955 [C]; A:[0, -24, 248]; H: 63.793701171875
SENSE daaa 19 22-04-2019 11:14:36.100 T: 25.4591999053955 [C]; A:[4, -30, 250]; H: 63.793701171875
SENSE daaa 20 22-04-2019 11:14:36.568 T: 25.52159881591796 [C]; A:[4, -30, 250]; H: 63.793701171875
SENSE daad 15 22-04-2019 11:14:36.821 T: 25.70879936218261 [C]; A:[-4, 0, 234]; H: 64.556640625
SENSE daaa 21 22-04-2019 11:14:37.040 T: 25.52159881591796 [C]; A:[-34, -44, 156]; H: 63.77081298828125
SENSE daad 16 22-04-2019 11:14:37.413 T: 25.64639854431152 [C]; A:[-4, 0, 230]; H: 64.53375244140625
SENSE daaa 22 22-04-2019 11:14:37.712 T: 25.4591999053955 [C]; A:[4, -24, 250]; H: 63.77081298828125
SENSE daad 17 22-04-2019 11:14:37.984 T: 25.64639854431152 [C]; A:[0, 0, 226]; H: 64.47271728515625
SENSE daaa 23 22-04-2019 11:14:38.280 T: 25.52159881591796 [C]; A:[2, -26, 242]; H: 63.74029541015625
SENSE daab 15 22-04-2019 11:14:26.475 T: 28.89119911193847 [C]; A:[0, 0, 168]; H: 59.673828125
SENSE daad 18 22-04-2019 11:14:38.555 T: 25.64639854431152 [C]; A:[0, 0, 230]; H: 64.4498291015625
