SENSE daaa 1 22-04-2019 11:02:54.068 T: 24.8976001739502 [C]; A:[4, -36, 248]; H: 66.5250244140625
SENSE daab 1 22-04-2019 11:02:54.066 T: 28.07999992370605 [C]; A:[0, 0, 0]; H: 63.09942626953125
SENSE daac 1 22-04-2019 11:02:54.267 T: 26.20800018310546 [C]; A:[0, 56, 208]; H: 67.0438232421875
SENSE daac 2 22-04-2019 11:02:55.023 T: 26.20800018310546 [C]; A:[0, 66, 192]; H: 67.0438232421875
SENSE daac 3 22-04-2019 11:02:55.518 T: 26.20800018310546 [C]; A:[0, 64, 198]; H: 67.0438232421875
SENSE daac 4 22-04-2019 11:02:56.013 T: 26.20800018310546 [C]; A:[-4, 64, 194]; H: 67.0438232421875
SENSE daac 5 22-04-2019 11:02:56.508 T: 26.20800018310546 [C]; A:[2, 58, 196]; H: 67.0438232421875
SENSE daac 6 22-04-2019 11:02:57.003 T: 26.20800018310546 [C]; A:[0, 62, 196]; H: 67.0438232421875
SENSE daac 7 22-04-2019 11:02:57.516 T: 26.20800018310546 [C]; A:[-6, 66, 192]; H: 67.0438232421875
SENSE daac 8 22-04-2019 11:02:58.022 T: 26.20800018310546 [C]; A:[0, 68, 192]; H: 67.0438232421875
SENSE daac 9 22-04-2019 11:02:58.517 T: 26.20800018310546 [C]; A:[0, 64, 192]; H: 67.0438232421875
SENSE daab 2 22-04-2019 11:02:59.147 T: 28.14239883422851 [C]; A:[0, 26, 236]; H: 62.84002685546875
SENSE daaa 2 22-04-2019 11:02:54.537 T: 24.8976001739502 [C]; A:[0, -32, 248]; H: 66.5250244140625
SENSE daab 3 22-04-2019 11:02:59.620 T: 28.14239883422851 [C]; A:[8, 22, 232]; H: 62.80950927734375
SENSE daaa 3 22-04-2019 11:02:59.952 T: 24.8351993560791 [C]; A:[4, -36, 236]; H: 66.4639892578125
SENSE daab 4 22-04-2019 11:03:00.187 T: 28.14239883422851 [C]; A:[2, 22, 230]; H: 62.77899169921875
SENSE daaa 4 22-04-2019 11:03:00.545 T: 24.8976001739502 [C]; A:[10, -34, 248]; H: 66.4639892578125
SENSE daab 5 22-04-2019 11:03:00.774 T: 28.14239883422851 [C]; A:[0, 20, 230]; H: 62.74847412109375
SENSE daaa 5 22-04-2019 11:03:01.127 T: 24.8976001739502 [C]; A:[2, -32, 252]; H: 66.4639892578125
