SENSE daaa 1 22-04-2019 11:11:32.543 T: 25.27199935913085 [C]; A:[0, 0, 0]; H: 64.28961181640625
SENSE daab 1 22-04-2019 11:11:31.078 T: 29.14079856872558 [C]; A:[0, 0, 0]; H: 59.40679931640625
SENSE daaa 2 22-04-2019 11:11:33.007 T: 25.27199935913085 [C]; A:[4, 0, 252]; H: 64.28961181640625
SENSE daaa 3 22-04-2019 11:11:33.610 T: 25.27199935913085 [C]; A:[6, 0, 274]; H: 64.28961181640625
SENSE daaa 4 22-04-2019 11:11:34.058 T: 25.27199935913085 [C]; A:[0, 0, 256]; H: 64.32012939453125
SENSE daaa 5 22-04-2019 11:11:34.506 T: 25.27199935913085 [C]; A:[2, -4, 248]; H: 64.32012939453125
SENSE daaa 6 22-04-2019 11:11:34.964 T: 25.27199935913085 [C]; A:[4, 2, 250]; H: 64.32012939453125
SENSE daaa 7 22-04-2019 11:11:35.430 T: 25.20959854125976 [C]; A:[2, 0, 250]; H: 64.32012939453125
SENSE daaa 8 22-04-2019 11:11:35.885 T: 25.27199935913085 [C]; A:[0, 0, 246]; H: 64.32012939453125
SENSE daaa 9 22-04-2019 11:11:36.333 T: 25.33440017700195 [C]; A:[6, 2, 250]; H: 64.32012939453125
SENSE daaa 10 22-04-2019 11:11:36.781 T: 25.27199935913085 [C]; A:[2, 2, 254]; H: 64.35064697265625
SENSE daaa 11 22-04-2019 11:11:37.229 T: 25.27199935913085 [C]; A:[0, 0, 248]; H: 64.37353515625
SENSE daaa 12 22-04-2019 11:11:37.677 T: 25.27199935913085 [C]; A:[0, 0, 248]; H: 64.37353515625
SENSE daac 1 22-04-2019 11:11:32.774 T: 26.9567985534668 [C]; A:[0, 64, 192]; H: 64.47271728515625
SENSE daab 2 22-04-2019 11:11:36.312 T: 29.14079856872558 [C]; A:[-60, -32, 164]; H: 59.2008056640625
SENSE daac 2 22-04-2019 11:11:38.341 T: 26.9567985534668 [C]; A:[0, 60, 198]; H: 64.32012939453125
SENSE daab 3 22-04-2019 11:11:36.752 T: 29.14079856872558 [C]; A:[62, 86, 318]; H: 59.2008056640625
SENSE daab 4 22-04-2019 11:11:37.250 T: 29.14079856872558 [C]; A:[-46, -32, 152]; H: 59.2008056640625
SENSE daac 3 22-04-2019 11:11:39.376 T: 26.89439964294433 [C]; A:[0, 60, 200]; H: 64.3277587890625
SENSE daab 5 22-04-2019 11:11:37.673 T: 29.07839965820312 [C]; A:[62, 94, 358]; H: 59.1702880859375
SENSE daab 6 22-04-2019 11:11:38.184 T: 29.14079856872558 [C]; A:[62, 78, 264]; H: 59.14739990234375
SENSE daac 4 22-04-2019 11:11:40.396 T: 26.89439964294433 [C]; A:[0, 62, 198]; H: 64.3277587890625
SENSE daab 7 22-04-2019 11:11:38.599 T: 29.14079856872558 [C]; A:[42, 16, 192]; H: 59.11688232421875
SENSE daab 8 22-04-2019 11:11:39.115 T: 29.14079856872558 [C]; A:[0, 0, 180]; H: 59.08636474609375
SENSE daac 5 22-04-2019 11:11:41.477 T: 26.9567985534668 [C]; A:[0, 64, 190]; H: 64.2972412109375
SENSE daab 9 22-04-2019 11:11:39.546 T: 29.14079856872558 [C]; A:[-56, -32, 160]; H: 59.02532958984375
SENSE daab 10 22-04-2019 11:11:40.044 T: 29.14079856872558 [C]; A:[62, 94, 332]; H: 58.96429443359375
SENSE daaa 13 22-04-2019 11:11:38.125 T: 25.27199935913085 [C]; A:[2, 2, 250]; H: 64.404052734375
SENSE daab 11 22-04-2019 11:11:40.478 T: 29.07839965820312 [C]; A:[32, 16, 192]; H: 58.93377685546875
SENSE daaa 14 22-04-2019 11:11:43.607 T: 25.27199935913085 [C]; A:[4, 0, 246]; H: 64.61004638671875
SENSE daab 12 22-04-2019 11:11:40.987 T: 29.14079856872558 [C]; A:[0, 0, 176]; H: 58.90325927734375
SENSE daaa 15 22-04-2019 11:11:44.184 T: 25.27199935913085 [C]; A:[0, 0, 248]; H: 64.64056396484375
SENSE daab 13 22-04-2019 11:11:41.489 T: 29.14079856872558 [C]; A:[-48, -32, 160]; H: 58.87274169921875
SENSE daaa 16 22-04-2019 11:11:44.751 T: 25.27199935913085 [C]; A:[6, 4, 250]; H: 64.64056396484375
SENSE daab 14 22-04-2019 11:11:41.985 T: 29.14079856872558 [C]; A:[70, 78, 272]; H: 58.849853515625
SENSE daaa 17 22-04-2019 11:11:45.339 T: 25.33440017700195 [C]; A:[0, 2, 250]; H: 64.64056396484375
SENSE daab 15 22-04-2019 11:11:42.487 T: 29.14079856872558 [C]; A:[62, 86, 318]; H: 58.849853515625
SENSE daaa 18 22-04-2019 11:11:45.906 T: 25.27199935913085 [C]; A:[0, 0, 254]; H: 64.67108154296875
SENSE daab 16 22-04-2019 11:11:42.983 T: 29.14079856872558 [C]; A:[0, 0, 160]; H: 58.849853515625
SENSE daaa 19 22-04-2019 11:11:46.484 T: 25.27199935913085 [C]; A:[0, 0, 246]; H: 64.67108154296875
SENSE daab 17 22-04-2019 11:11:43.503 T: 29.14079856872558 [C]; A:[54, 78, 350]; H: 58.849853515625
SENSE daaa 20 22-04-2019 11:11:47.078 T: 25.27199935913085 [C]; A:[2, 6, 252]; H: 64.70159912109375
SENSE daab 18 22-04-2019 11:11:43.987 T: 29.14079856872558 [C]; A:[0, 0, 176]; H: 58.849853515625
SENSE daac 6 22-04-2019 11:11:42.582 T: 26.89439964294433 [C]; A:[0, 64, 194]; H: 64.2972412109375
SENSE daab 19 22-04-2019 11:11:44.486 T: 29.14079856872558 [C]; A:[-56, -32, 160]; H: 58.8193359375
SENSE daad 1 22-04-2019 11:11:32.887 T: 25.64639854431152 [C]; A:[0, 0, 0]; H: 65.03729248046875
SENSE daab 20 22-04-2019 11:11:45.030 T: 29.14079856872558 [C]; A:[62, 78, 318]; H: 58.8193359375
SENSE daac 7 22-04-2019 11:11:48.328 T: 26.9567985534668 [C]; A:[0, 62, 190]; H: 64.15228271484375
SENSE daab 21 22-04-2019 11:11:45.443 T: 29.14079856872558 [C]; A:[0, 0, 176]; H: 58.8193359375
SENSE daab 22 22-04-2019 11:11:45.936 T: 29.14079856872558 [C]; A:[46, 86, 318]; H: 58.8193359375
SENSE daac 8 22-04-2019 11:11:49.323 T: 26.9567985534668 [C]; A:[0, 64, 192]; H: 64.12176513671875
SENSE daab 23 22-04-2019 11:11:46.348 T: 29.14079856872558 [C]; A:[-48, -30, 190]; H: 58.8193359375
SENSE daab 24 22-04-2019 11:11:46.849 T: 29.14079856872558 [C]; A:[78, 94, 318]; H: 58.8193359375
SENSE daac 9 22-04-2019 11:11:50.378 T: 26.9567985534668 [C]; A:[0, 68, 190]; H: 64.09124755859375
SENSE daab 25 22-04-2019 11:11:47.287 T: 29.14079856872558 [C]; A:[62, 94, 330]; H: 58.8193359375
SENSE daab 26 22-04-2019 11:11:47.771 T: 29.14079856872558 [C]; A:[-56, -28, 194]; H: 58.8193359375
SENSE daac 10 22-04-2019 11:11:51.473 T: 26.9567985534668 [C]; A:[0, 58, 220]; H: 64.06072998046875
SENSE daab 27 22-04-2019 11:11:48.185 T: 29.14079856872558 [C]; A:[-32, 0, 160]; H: 58.8193359375
SENSE daaa 21 22-04-2019 11:11:47.639 T: 25.27199935913085 [C]; A:[0, 2, 244]; H: 64.67108154296875
SENSE daab 28 22-04-2019 11:11:48.674 T: 29.14079856872558 [C]; A:[62, 94, 334]; H: 58.8193359375
SENSE daac 11 22-04-2019 11:11:52.529 T: 26.9567985534668 [C]; A:[0, 64, 196]; H: 64.06072998046875
SENSE daab 29 22-04-2019 11:11:49.188 T: 29.14079856872558 [C]; A:[62, 94, 334]; H: 58.788818359375
SENSE daab 30 22-04-2019 11:11:49.655 T: 29.14079856872558 [C]; A:[-14, 62, 294]; H: 58.788818359375
SENSE daac 12 22-04-2019 11:11:53.734 T: 26.9567985534668 [C]; A:[0, 64, 196]; H: 64.03021240234375
SENSE daab 31 22-04-2019 11:11:50.070 T: 29.14079856872558 [C]; A:[30, 78, 350]; H: 58.788818359375
SENSE daab 32 22-04-2019 11:11:50.544 T: 29.07839965820312 [C]; A:[62, 94, 300]; H: 58.788818359375
SENSE daac 13 22-04-2019 11:11:54.769 T: 26.9567985534668 [C]; A:[-4, 64, 192]; H: 64.03021240234375
SENSE daab 33 22-04-2019 11:11:50.952 T: 29.14079856872558 [C]; A:[24, 4, 192]; H: 58.788818359375
SENSE daab 34 22-04-2019 11:11:51.397 T: 29.14079856872558 [C]; A:[-56, -32, 160]; H: 58.788818359375
SENSE daac 14 22-04-2019 11:11:55.850 T: 26.9567985534668 [C]; A:[0, 64, 196]; H: 64.03021240234375
SENSE daab 35 22-04-2019 11:11:51.810 T: 29.14079856872558 [C]; A:[-56, -32, 160]; H: 58.788818359375
SENSE daab 36 22-04-2019 11:11:52.266 T: 29.14079856872558 [C]; A:[32, 0, 192]; H: 58.75830078125
SENSE daac 15 22-04-2019 11:11:56.955 T: 26.9567985534668 [C]; A:[0, 60, 186]; H: 63.99969482421875
SENSE daab 37 22-04-2019 11:11:52.667 T: 29.14079856872558 [C]; A:[24, 8, 192]; H: 58.75830078125
SENSE daaa 22 22-04-2019 11:11:53.105 T: 25.33440017700195 [C]; A:[0, 0, 248]; H: 64.587158203125
SENSE daab 38 22-04-2019 11:11:53.100 T: 29.14079856872558 [C]; A:[-2, 62, 334]; H: 58.75830078125
SENSE daab 39 22-04-2019 11:11:53.551 T: 29.14079856872558 [C]; A:[62, 86, 326]; H: 58.75830078125
SENSE daad 2 22-04-2019 11:11:59.263 T: 25.64639854431152 [C]; A:[0, 0, 232]; H: 64.83892822265625
